size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
7.38,2.20,31.21673,-85.36307,AL,32000,7000,50,51,21,Southeast Alabama Medical Center
6.97,2.10,34.80175,-87.67514,AL,30000,7000,50,65,2,Eliza Coffee Memorial Hospital
7.28,2.18,33.25607,-86.81035,AL,32000,7000,83,70,63,Shelby Baptist Medical Center
2.93,2.26,31.45215,-85.63140,AL,11000,7000,0,0,0,Dale Medical Center
2.82,2.22,32.63806,-85.40413,AL,10000,7000,50,80,13,East Alabama Medical Center And Snf
6.45,2.76,33.50619,-86.80210,AL,28000,10000,66,45,11,University Of Alabama Hospital
5.82,2.16,34.20768,-86.87489,AL,25000,7000,50,63,79,Cullman Regional Medical Center
7.41,2.31,34.72007,-86.58108,AL,32000,8000,50,65,44,Huntsville Hospital
13.11,2.26,34.00941,-85.97078,AL,60000,7000,66,67,27,Gadsden Regional Medical Center
10.21,2.09,34.00426,-86.00339,AL,46000,7000,75,81,90,Riverview Regional Medical Center
5.03,2.16,33.50734,-86.78958,AL,21000,7000,50,72,21,St Vincent'S Birmingham
2.82,2.17,32.94573,-85.98570,AL,10000,7000,50,71,5,Russell Hospital
6.32,2.12,33.65640,-85.82284,AL,27000,7000,50,60,5,Northeast Alabama Regional Med Center
5.17,2.48,34.80351,-86.97726,AL,21000,8000,0,0,0,Athens-Limestone Hospital
2.89,2.16,34.59052,-86.97262,AL,10000,7000,50,77,54,Decatur General Hospital
4.78,2.16,30.68199,-88.19897,AL,20000,7000,83,86,0,Providence Hospital
8.54,2.46,33.20521,-87.52546,AL,38000,8000,66,66,21,D C H Regional Medical Center
6.25,2.29,33.49854,-86.84633,AL,27000,7000,66,70,8,Baptist Medical Center-Princeton
15.95,2.31,33.51420,-86.74859,AL,74000,8000,66,27,11,Trinity Medical Center
7.81,2.19,30.69697,-88.08081,AL,34000,7000,66,55,24,Mobile Infirmary
7.08,2.54,32.43020,-87.05515,AL,31000,9000,50,91,32,Vaughan Reg Med Center Parkway Campus
11.56,2.10,34.69279,-86.57179,AL,52000,7000,50,77,33,Crestwood Medical Center
25.40,2.10,33.46420,-86.77409,AL,119000,7000,50,65,29,Brookwood Medical Center
10.00,3.20,60.94901,-149.17033,AK,45000,12000,50,81,90,Providence Alaska Medical Center
7.51,2.87,33.46514,-112.05797,AZ,33000,10000,50,48,69,Banner Good Samaritan Medical Center
9.08,2.97,32.25294,-110.88135,AZ,40000,11000,50,48,3,Tucson Medical Center
7.00,2.72,32.68274,-114.63506,AZ,30000,10000,50,63,69,Yuma Regional Medical Center
5.46,2.52,32.88123,-111.71067,AZ,23000,9000,50,81,11,Casa Grande Regional Medical Center
8.79,2.41,33.29750,-111.87461,AZ,39000,8000,50,78,54,Chandler Regional Medical Center
9.34,2.25,33.60432,-112.28378,AZ,42000,7000,83,75,95,Banner Boswell Medical Center
10.50,3.94,32.24152,-110.94631,AZ,47000,15000,50,37,39,University Of Arizona Medical Ctr-Universit The
5.84,2.29,33.41128,-111.68916,AZ,25000,8000,50,70,63,Banner Baywood Medical Center
6.92,2.28,33.65965,-112.37283,AZ,30000,7000,50,77,97,Banner Del E Webb Medical Center
17.03,2.47,35.11068,-114.55505,AZ,79000,8000,50,87,63,Western Arizona Regional Medical Ctr
4.92,2.63,33.65947,-111.95626,AZ,20000,9000,66,53,95,Mayo Clinic Hospital
11.13,2.98,33.47818,-112.25744,AZ,50000,11000,50,58,69,Banner Estrella Medical Center
7.77,2.50,34.75031,-92.33897,AR,34000,9000,66,63,82,St Vincent Infirmary Medical Center
4.37,2.20,35.25046,-91.70056,AR,18000,7000,50,61,63,White County Medical Center
5.01,2.80,34.74866,-92.35422,AR,21000,10000,50,51,33,Uams Medical Center
3.23,2.32,35.83746,-90.70386,AR,12000,8000,50,75,2,St Bernards Medical Ctr
5.98,2.23,36.18082,-94.13644,AR,25000,7000,50,68,29,Nw Arkansas Hospitals Llc
4.01,2.13,36.34295,-92.39442,AR,16000,7000,50,65,57,Baxter Regional Medical Center
4.42,2.14,34.77770,-92.12539,AR,18000,7000,50,60,13,Baptist Health Medical Center North Little Rock
5.87,2.27,35.28275,-93.14901,AR,25000,7000,0,0,0,St Marys Regional Medical Center
5.49,2.11,35.35395,-94.35262,AR,23000,7000,50,66,11,St Edward Mercy Medical Center
7.91,2.54,34.18894,-92.01886,AR,35000,9000,50,75,4,Jefferson Regional Medical Center
5.54,2.21,34.74866,-92.35422,AR,23000,7000,50,43,21,Baptist Health Medical Center-Little Rock
5.49,2.35,35.80838,-90.66658,AR,23000,8000,50,57,69,Nea Baptist Memorial Hospital
5.67,2.30,35.76927,-91.63408,AR,24000,8000,33,63,37,White River Medical Center
5.05,2.06,34.73868,-92.39307,AR,21000,6000,75,86,79,Arkansas Heart Hospital
9.49,2.74,37.59283,-122.38249,CA,42000,10000,50,71,33,Peninsula Medical Center
13.21,2.90,38.32472,-122.29671,CA,60000,10000,50,72,82,Queen Of The Valley Medical Center
12.52,2.89,38.57053,-121.45216,CA,57000,10000,83,53,27,Mercy General Hospital
5.05,3.75,34.06505,-118.23913,CA,21000,15000,0,0,0,Pacific Alliance Medical Center
17.91,3.20,33.97659,-117.38184,CA,83000,12000,50,65,57,Riverside Community Hospital
11.36,2.71,32.77495,-117.01467,CA,51000,10000,83,71,33,Grossmont Hospital
8.38,2.72,39.50528,-121.54100,CA,37000,10000,50,73,63,Oroville Hospital
16.32,3.10,35.38736,-119.01690,CA,75000,11000,33,85,79,Bakersfield Memorial Hospital
13.97,3.62,37.82206,-122.26275,CA,64000,14000,50,63,32,Alta Bates Summit Medical Center
