size_charge,size_pay,lat,lon,charge,pay,name
3.05,2.44,35.83746,-90.70386,8540.97,5805.71,ST BERNARDS MEDICAL CTR
7.52,2.20,36.18082,-94.13644,28571.46,4761.59,NW ARKANSAS HOSPITALS, LLC
4.82,2.15,34.46784,-93.06667,16476.24,4540.79,ST JOSEPHS MERCY HEALTH CENTER INC
2.59,2.11,36.34295,-92.39442,6514.61,4329.74,BAXTER REGIONAL MEDICAL CENTER
3.94,2.09,34.77770,-92.12539,12541.10,4250.30,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
2.93,2.20,36.05214,-90.49908,8006.93,4734.87,ARKANSAS METHODIST MEDICAL CENTER
5.07,2.21,35.28275,-93.14901,17605.00,4783.09,ST MARYS REGIONAL MEDICAL CENTER
3.58,2.17,35.37445,-94.41868,10940.89,4616.30,SPARKS REGIONAL MEDICAL CENTER
4.70,2.12,35.35395,-94.35262,15925.31,4382.31,ST EDWARD MERCY MEDICAL CENTER
4.86,2.31,34.18894,-92.01886,16673.73,5217.73,JEFFERSON REGIONAL MEDICAL CENTER
3.77,2.27,34.51764,-91.55932,11778.00,5072.14,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
3.98,2.26,34.35877,-92.78638,12713.38,4997.50,HOT SPRING COUNTY MEDICAL CENTER
8.27,2.22,34.48600,-93.03521,31923.44,4850.44,NATIONAL PARK MEDICAL CENTER
5.97,2.30,34.51022,-90.62718,21622.10,5175.52,HELENA REGIONAL MEDICAL CENTER
4.96,2.28,33.22053,-92.67102,17105.33,5097.25,MEDICAL CENTER SOUTH ARKANSAS
4.63,2.24,34.74866,-92.35422,15617.59,4934.59,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.07,2.21,35.80838,-90.66658,17618.72,4813.28,NEA BAPTIST MEMORIAL HOSPITAL
4.46,2.25,35.76927,-91.63408,14856.00,4959.78,WHITE RIVER MEDICAL CENTER
7.43,2.59,40.78366,-124.14246,28188.82,6498.82,ST JOSEPH HOSPITAL
10.49,2.52,37.59283,-122.38249,41858.48,6198.00,PENINSULA MEDICAL CENTER
12.41,2.67,38.32472,-122.29671,50479.46,6850.39,QUEEN OF THE VALLEY MEDICAL CENTER
9.65,2.66,38.57053,-121.45216,38095.33,6785.67,MERCY GENERAL HOSPITAL
10.13,2.68,33.97659,-117.38184,40275.50,6891.08,RIVERSIDE COMMUNITY HOSPITAL
7.42,3.16,32.75426,-117.16592,28126.57,9068.09,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
8.12,2.52,32.77495,-117.01467,31251.36,6166.14,GROSSMONT HOSPITAL
7.09,2.52,39.50528,-121.54100,26649.38,6165.50,OROVILLE HOSPITAL
7.54,2.55,35.38736,-119.01690,28664.14,6319.93,BAKERSFIELD MEMORIAL HOSPITAL
8.26,2.33,39.74221,-121.85000,31907.27,5328.34,ENLOE MEDICAL CENTER
11.49,3.03,37.82206,-122.26275,46351.46,8468.12,ALTA BATES SUMMIT MEDICAL CENTER
8.74,3.19,37.79100,-122.43125,34042.72,9174.62,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
5.76,2.67,34.67486,-118.15771,20700.49,6842.76,ANTELOPE VALLEY HOSPITAL MED CENTER
6.86,2.53,36.32737,-119.29548,25595.07,6246.93,KAWEAH DELTA MEDICAL CENTER
9.80,2.85,34.12834,-118.25777,38783.53,7635.91,GLENDALE MEM HOSPITAL & HLTH CENTER
9.80,2.92,36.73000,-119.78000,38785.89,7978.93,COMMUNITY REGIONAL MEDICAL CENTER
8.95,3.19,34.09643,-118.29103,34958.90,9192.00,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
7.73,2.77,32.75143,-117.16083,29509.50,7306.52,SCRIPPS MERCY HOSPITAL
10.18,2.75,37.95337,-122.33672,40497.58,7214.83,DOCTORS MEDICAL CENTER-SAN PABLO
10.46,2.67,34.21674,-119.15631,41735.38,6846.56,ST JOHNS REGIONAL MEDICAL CENTER
12.47,2.69,37.96987,-121.28873,50727.70,6920.30,ST JOSEPHS MED CENTER OF STOCKTON
7.02,2.45,36.83532,-119.76562,26313.80,5863.71,SAINT AGNES MEDICAL CENTER
7.73,2.42,34.10130,-117.63651,29527.19,5715.56,SAN ANTONIO COMMUNITY HOSPITAL
10.77,2.70,32.79949,-117.15394,43140.56,7004.63,SHARP MEMORIAL HOSPITAL
13.49,3.17,34.04932,-118.21746,55326.43,9079.74,WHITE MEMORIAL MEDICAL CENTER
7.51,3.16,33.92963,-118.20332,28520.88,9028.62,SAINT FRANCIS MEDICAL CENTER
8.23,2.74,38.57155,-121.46874,31740.88,7152.71,SUTTER GENERAL HOSPITAL
6.41,2.82,34.07558,-118.28424,23594.11,7511.84,TEMPLE COMMUNITY HOSPITAL
10.02,2.58,34.02685,-118.48651,39755.98,6443.93,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
10.64,2.43,33.12535,-117.07336,42545.30,5768.70,PALOMAR MEDICAL CENTER
12.11,2.71,34.22014,-118.53410,49107.06,7038.40,NORTHRIDGE HOSPITAL MEDICAL CENTER
14.44,2.40,37.80132,-121.19690,59573.78,5653.28,DOCTORS HOSPITAL OF MANTECA
6.85,2.55,36.32362,-119.66726,25573.70,6297.33,ADVENTIST MEDICAL CENTER
6.46,2.37,34.20495,-118.21589,23815.70,5522.04,VERDUGO HILLS HOSPITAL
18.78,3.22,37.36257,-121.84974,78988.82,9303.34,REGIONAL MEDICAL CENTER OF SAN JOSE
7.19,2.82,34.19494,-118.46319,27104.70,7532.74,VALLEY PRESBYTERIAN HOSPITAL
7.08,2.47,33.18402,-117.29661,26610.86,5970.57,TRI-CITY MEDICAL CENTER
11.44,2.77,34.10081,-118.10588,46145.53,7292.18,SAN GABRIEL VALLEY MEDICAL CENTER
8.49,2.53,39.13822,-121.59436,32897.23,6212.37,RIDEOUT MEMORIAL HOSPITAL
5.25,3.00,34.09638,-118.32518,18412.36,8324.36,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
8.82,2.66,36.57886,-121.91316,34373.47,6810.21,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
9.63,3.22,34.03705,-118.26575,38029.92,9294.00,CALIFORNIA HOSPITAL MEDICAL CENTER LA
8.99,2.41,39.22809,-121.04721,35133.71,5697.57,SIERRA NEVADA MEMORIAL HOSPITAL
13.19,3.07,37.78963,-122.41700,53943.91,8625.09,SAINT FRANCIS MEMORIAL HOSPITAL
13.67,2.98,37.32710,-121.93863,56133.53,8228.18,O'CONNOR HOSPITAL
7.51,3.10,34.28029,-119.25410,28517.85,8789.69,VENTURA COUNTY MEDICAL CENTER
9.81,2.34,33.89465,-117.92716,38824.46,5390.25,ST JUDE MEDICAL CENTER
13.32,2.46,33.96860,-118.04831,54537.38,5933.27,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
11.23,2.69,38.44369,-122.70138,45200.65,6954.61,SANTA ROSA MEMORIAL HOSPITAL
11.76,2.51,37.51164,-120.83800,47561.70,6122.70,EMANUEL MEDICAL CENTER INC
16.16,2.55,37.91341,-122.04163,67275.81,6334.71,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
6.81,2.81,33.77991,-118.18602,25392.67,7487.44,ST MARY MEDICAL CENTER
13.72,3.14,36.92821,-121.79360,56344.46,8960.38,WATSONVILLE COMMUNITY HOSPITAL
12.17,2.85,37.55717,-121.98126,49397.79,7652.90,WASHINGTON HOSPITAL
12.89,2.78,37.48000,-122.25441,52635.00,7322.42,SEQUOIA HOSPITAL
6.54,2.68,34.58305,-118.14490,24161.28,6915.28,PALMDALE REGIONAL MEDICAL CENTER
7.33,2.70,34.12865,-117.86501,27702.43,6998.29,EAST VALLEY HOSPITAL MEDICAL CENTER
10.58,2.63,32.61972,-117.02278,42284.41,6684.91,SHARP CHULA VISTA MEDICAL CENTER
5.51,2.27,33.62229,-117.92995,19587.44,5055.17,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
15.88,2.41,39.75720,-121.57018,66030.50,5704.80,FEATHER RIVER HOSPITAL
8.40,2.44,33.84780,-117.93661,32506.56,5810.56,AHMC ANAHEIM REGIONAL MEDICAL CENTER
13.51,3.87,37.75676,-122.40461,55399.10,12219.90,SAN FRANCISCO GENERAL HOSPITAL
7.61,3.05,33.77483,-117.91329,28956.00,8543.33,GARDEN GROVE HOSPITAL & MEDICAL CENTER
9.45,2.85,34.07709,-117.75063,37215.67,7644.00,POMONA VALLEY HOSPITAL MEDICAL CENTER
13.15,2.52,34.15601,-118.32834,53778.79,6172.27,PROVIDENCE SAINT JOSEPH MEDICAL CTR
8.72,2.38,34.28920,-118.74484,33962.29,5559.00,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
8.59,2.62,34.13973,-118.03534,33379.25,6623.07,METHODIST HOSPITAL OF SOUTHERN CA
10.67,2.91,34.14987,-118.23117,42683.99,7931.40,GLENDALE ADVENTIST MEDICAL CENTER
10.20,2.72,36.98999,-121.98357,40566.00,7085.50,DOMINICAN HOSPITAL
16.76,2.51,33.83862,-116.54557,69964.83,6145.22,DESERT REGIONAL MEDICAL CENTER
12.46,2.50,38.72562,-120.79096,50694.30,6083.43,MARSHALL MEDICAL CENTER (1-RH)
11.27,4.03,34.06675,-118.44613,45360.25,12964.67,RONALD REAGAN UCLA MEDICAL CENTER
14.11,2.64,34.27915,-118.46006,58069.97,6696.12,PROVIDENCE HOLY CROSS MEDICAL CENTER
11.80,2.68,40.58654,-122.39168,47748.13,6889.04,MERCY MEDICAL CENTER REDDING
12.10,2.67,37.69502,-121.88095,49095.93,6836.50,VALLEYCARE MEDICAL CENTER
17.06,2.80,37.67947,-122.47447,71300.54,7450.46,SETON MEDICAL CENTER
7.80,2.28,34.03009,-118.47833,29846.77,5104.21,SAINT JOHN'S HEALTH CENTER
8.25,2.32,35.37279,-119.02817,31846.73,5286.91,MERCY HOSPITAL
9.85,2.51,34.50107,-117.17285,38986.14,6148.21,ST MARY MEDICAL CENTER
5.69,2.53,39.15350,-123.20435,20364.91,6240.00,UKIAH VALLEY MEDICAL CENTER/HOSPITAL D
11.98,3.12,37.85593,-122.25730,48533.61,8881.00,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
13.92,2.60,37.36934,-122.08047,57228.57,6558.30,EL CAMINO HOSPITAL
9.59,2.44,38.76514,-121.24979,37860.79,5837.32,SUTTER ROSEVILLE MEDICAL CENTER
9.59,2.28,32.88461,-117.22244,37842.85,5114.12,SCRIPPS MEMORIAL HOSPITAL LA JOLLA
8.19,3.14,34.05076,-117.26395,31583.86,8939.71,LOMA LINDA UNIVERSITY MEDICAL CENTER
6.64,2.57,33.87236,-117.56809,24646.09,6384.73,CORONA REGIONAL MEDICAL CENTER
8.49,2.82,36.65910,-121.64630,32931.89,7522.56,SALINAS VALLEY MEMORIAL HOSPITAL
16.49,2.51,38.12186,-121.28665,68750.21,6155.42,LODI MEMORIAL HOSPITAL
14.64,3.26,33.78798,-117.89026,60451.73,9511.91,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER
4.91,2.74,34.01501,-118.10064,16900.58,7168.00,BEVERLY HOSPITAL
9.36,2.38,33.81131,-118.34364,36812.73,5551.42,TORRANCE MEMORIAL MEDICAL CENTER
9.80,2.48,33.83891,-118.35677,38767.79,6021.33,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
15.75,2.81,37.94748,-122.53677,65445.03,7486.15,MARIN GENERAL HOSPITAL
20.47,2.88,38.26174,-122.04662,86549.38,7797.85,NORTHBAY MEDICAL CENTER
14.14,2.71,37.25153,-121.94684,58215.88,7021.16,GOOD SAMARITAN HOSPITAL
7.39,2.78,34.08802,-117.89341,28005.11,7354.22,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
4.54,2.49,33.75117,-116.96028,15236.08,6026.69,HEMET VALLEY MEDICAL CENTER
9.31,2.66,33.93530,-118.13030,36573.88,6825.27,DOWNEY REGIONAL MEDICAL CENTER
8.94,2.55,34.27459,-119.25812,34925.59,6293.65,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA
6.72,2.61,34.42951,-119.72333,24973.06,6593.74,SANTA BARBARA COTTAGE HOSPITAL
