size_charge,size_pay,lat,lon,charge,pay,name
4.71,2.26,36.18082,-94.13644,42103.16,11684.10,NW ARKANSAS HOSPITALS, LLC
4.25,2.15,34.46784,-93.06667,36427.83,10289.04,ST JOSEPHS MERCY HEALTH CENTER INC
3.25,2.07,36.34295,-92.39442,23937.86,9287.00,BAXTER REGIONAL MEDICAL CENTER
3.38,2.12,35.08546,-92.45774,25550.24,9883.10,CONWAY REGIONAL MEDICAL CENTER
3.99,2.16,34.77770,-92.12539,33200.10,10410.07,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.81,2.36,35.14320,-90.18837,30877.79,12910.79,CRITTENDEN MEMORIAL HOSPITAL
4.18,2.19,35.37445,-94.41868,35521.44,10761.60,SPARKS REGIONAL MEDICAL CENTER
4.95,2.11,35.35395,-94.35262,45142.64,9772.82,ST EDWARD MERCY MEDICAL CENTER
4.29,2.25,34.18894,-92.01886,36896.62,11514.91,JEFFERSON REGIONAL MEDICAL CENTER
7.64,2.30,34.48600,-93.03521,78494.43,12112.50,NATIONAL PARK MEDICAL CENTER
4.43,2.19,34.74866,-92.35422,38602.08,10753.51,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
4.85,2.35,35.80838,-90.66658,43891.09,12779.64,NEA BAPTIST MEMORIAL HOSPITAL
4.21,2.31,35.76927,-91.63408,35838.92,12203.42,WHITE RIVER MEDICAL CENTER
11.73,2.87,37.63362,-122.08802,129364.45,19201.85,ST ROSE HOSPITAL
6.63,2.37,37.59283,-122.38249,65986.72,13030.76,PENINSULA MEDICAL CENTER
12.00,2.71,38.32472,-122.29671,132782.08,17208.17,QUEEN OF THE VALLEY MEDICAL CENTER
6.59,2.79,38.57053,-121.45216,65453.69,18279.77,MERCY GENERAL HOSPITAL
3.51,2.84,34.06505,-118.23913,27235.47,18813.07,PACIFIC ALLIANCE MEDICAL CENTER
7.20,2.59,33.97659,-117.38184,73110.77,15695.09,RIVERSIDE COMMUNITY HOSPITAL
4.77,2.59,32.68425,-117.08161,42877.87,15701.07,PARADISE VALLEY HOSPITAL
6.21,3.17,32.75426,-117.16592,60803.87,22977.33,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
6.89,2.33,32.77495,-117.01467,69269.75,12469.71,GROSSMONT HOSPITAL
7.65,2.62,35.38736,-119.01690,78626.04,16130.48,BAKERSFIELD MEMORIAL HOSPITAL
7.56,3.44,37.31288,-121.93329,77539.43,26340.18,SANTA CLARA VALLEY MEDICAL CENTER
7.62,2.42,39.74221,-121.85000,78305.57,13641.20,ENLOE MEDICAL CENTER
8.96,2.88,37.82206,-122.26275,94963.41,19351.09,ALTA BATES SUMMIT MEDICAL CENTER
6.06,2.51,32.78037,-115.56848,58860.18,14686.27,EL CENTRO REGIONAL MEDICAL CENTER
10.02,3.02,37.79100,-122.43125,108170.23,21068.91,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
4.80,2.57,34.67486,-118.15771,43178.90,15547.48,ANTELOPE VALLEY HOSPITAL MED CENTER
6.83,2.44,36.32737,-119.29548,68443.66,13822.81,KAWEAH DELTA MEDICAL CENTER
7.22,2.61,34.12834,-118.25777,73347.80,15979.27,GLENDALE MEM HOSPITAL & HLTH CENTER
6.19,2.96,36.73000,-119.78000,60499.52,20314.27,COMMUNITY REGIONAL MEDICAL CENTER
8.57,2.83,34.09643,-118.29103,90130.65,18769.20,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
6.50,2.38,33.78036,-117.86495,64421.06,13172.19,ST JOSEPH HOSPITAL
8.22,2.67,32.75143,-117.16083,85734.98,16788.93,SCRIPPS MERCY HOSPITAL
8.85,2.67,37.95337,-122.33672,93583.76,16742.90,DOCTORS MEDICAL CENTER-SAN PABLO
6.72,2.46,34.21674,-119.15631,67078.68,14110.55,ST JOHNS REGIONAL MEDICAL CENTER
8.10,2.56,37.96987,-121.28873,84285.87,15397.43,ST JOSEPHS MED CENTER OF STOCKTON
12.14,3.20,34.13101,-117.32181,134508.07,23337.86,COMMUNITY HOSPITAL OF SAN BERNARDINO
5.58,2.46,36.83532,-119.76562,52981.99,14177.40,SAINT AGNES MEDICAL CENTER
6.25,2.36,34.10130,-117.63651,61255.34,12875.39,SAN ANTONIO COMMUNITY HOSPITAL
10.13,2.80,32.79949,-117.15394,109490.76,18324.62,SHARP MEMORIAL HOSPITAL
6.81,2.71,38.13118,-122.23732,68287.36,17183.18,SUTTER SOLANO MEDICAL CENTER
8.55,2.89,34.04932,-118.21746,89867.41,19490.22,WHITE MEMORIAL MEDICAL CENTER
6.49,2.95,33.92963,-118.20332,64255.17,20202.80,SAINT FRANCIS MEDICAL CENTER
8.36,2.67,34.95099,-120.41322,87528.13,16713.80,MARIAN MEDICAL CENTER
6.21,2.67,38.57155,-121.46874,60770.13,16714.17,SUTTER GENERAL HOSPITAL
7.12,2.55,34.02685,-118.48651,72141.87,15272.50,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
5.90,2.33,33.12535,-117.07336,56951.33,12501.47,PALOMAR MEDICAL CENTER
8.64,2.62,34.22014,-118.53410,91045.96,16100.10,NORTHRIDGE HOSPITAL MEDICAL CENTER
6.70,2.55,36.32362,-119.66726,66815.76,15203.29,ADVENTIST MEDICAL CENTER
13.28,3.01,37.36257,-121.84974,148733.63,20970.28,REGIONAL MEDICAL CENTER OF SAN JOSE
6.30,2.67,34.19494,-118.46319,61901.64,16732.55,VALLEY PRESBYTERIAN HOSPITAL
5.93,2.39,33.18402,-117.29661,57242.75,13216.92,TRI-CITY MEDICAL CENTER
6.64,2.55,34.13495,-117.27603,66065.31,15186.61,ST BERNARDINE MEDICAL CENTER
