size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
8.39,2.54,36.18082,-94.13644,23897.73,4336.01,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
6.66,2.47,34.46784,-93.06667,18122.20,4102.38,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.57,2.40,36.34295,-92.39442,7764.71,3866.63,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
5.29,2.43,35.08546,-92.45774,13538.04,3945.23,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
5.73,2.45,34.77770,-92.12539,14996.94,4038.60,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.92,2.47,36.05214,-90.49908,8937.14,4098.46,0.00,0.00,0.00,ARKANSAS METHODIST MEDICAL CENTER
7.51,2.54,35.28275,-93.14901,20963.92,4335.32,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
6.37,2.79,35.14320,-90.18837,17153.61,5172.45,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
3.17,2.55,36.28982,-90.99750,6430.29,4368.38,0.00,0.00,0.00,FIVE RIVERS MEDICAL CENTER
4.62,2.47,33.57575,-92.83683,11279.52,4091.94,0.00,0.00,0.00,OUACHITA COUNTY MEDICAL CENTER
3.15,2.44,33.62900,-91.79096,6373.35,4006.74,0.00,0.00,0.00,DREW MEMORIAL HOSPITAL
5.05,2.49,35.37445,-94.41868,12728.85,4144.41,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
7.57,2.39,35.35395,-94.35262,21147.35,3841.85,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.95,2.55,33.27510,-93.24001,9051.10,4352.14,0.00,0.00,0.00,MAGNOLIA HOSPITAL
4.04,2.80,35.94320,-89.91713,9363.41,5186.88,0.00,0.00,0.00,GREAT RIVER MEDICAL CENTER
8.88,2.67,34.18894,-92.01886,25536.02,4776.84,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
3.97,2.60,34.51764,-91.55932,9113.12,4537.50,0.00,0.00,0.00,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
4.60,2.56,34.35877,-92.78638,11238.29,4381.26,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
11.40,2.56,34.48600,-93.03521,33991.60,4387.68,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
7.68,2.49,35.60836,-91.26499,21543.36,4170.93,0.00,0.00,0.00,HARRIS HOSPITAL
5.22,2.41,34.57290,-92.58508,13309.85,3907.41,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
8.14,2.60,34.51022,-90.62718,23051.95,4545.00,0.00,0.00,0.00,HELENA REGIONAL MEDICAL CENTER
7.07,2.60,33.22053,-92.67102,19474.72,4528.07,0.50,0.70,0.14,MEDICAL CENTER SOUTH ARKANSAS
4.76,2.49,33.64905,-93.58704,11766.55,4160.00,0.00,0.00,0.00,MEDICAL PARK HOSPITAL
6.08,2.52,34.74866,-92.35422,16159.24,4250.80,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.97,2.51,35.80838,-90.66658,15817.70,4219.97,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
5.98,2.66,35.76927,-91.63408,15848.04,4743.70,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
4.70,2.36,34.73868,-92.39307,11561.92,3712.81,0.75,0.86,0.80,ARKANSAS HEART HOSPITAL
5.33,2.41,34.81290,-92.20814,13677.12,3888.24,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
17.19,3.63,37.63362,-122.08802,53365.40,7972.40,0.50,0.60,0.07,ST ROSE HOSPITAL
12.55,2.96,40.78366,-124.14246,37829.82,5729.00,0.50,0.64,0.64,ST JOSEPH HOSPITAL
11.69,2.90,37.59283,-122.38249,34961.47,5537.00,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
