size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
3.08,2.38,35.83746,-90.70386,43445.83,29584.28,0.0,0.119,0.474,0.178,0.0,0.0,0.059,0.0,ST BERNARDS MEDICAL CTR
5.80,2.38,34.46784,-93.06667,97342.42,29595.32,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
3.60,2.24,36.34295,-92.39442,53878.41,26815.82,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
3.81,2.26,35.08546,-92.45774,57884.38,27350.85,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0,CONWAY REGIONAL MEDICAL CENTER
4.70,2.34,34.77770,-92.12539,75577.89,28875.33,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.64,2.42,35.37445,-94.41868,74308.00,30411.35,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069,SPARKS REGIONAL MEDICAL CENTER
5.88,2.42,35.35395,-94.35262,98848.29,30373.10,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
13.89,2.77,34.48600,-93.03521,257368.88,37394.35,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0,NATIONAL PARK MEDICAL CENTER
8.36,3.00,34.74866,-92.35422,148013.02,41858.50,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
8.00,2.59,35.80838,-90.66658,140827.00,33704.42,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134,NEA BAPTIST MEMORIAL HOSPITAL
18.12,4.02,37.63362,-122.08802,341252.12,62164.67,0.0,1.826,0.609,0.812,0.0,0.0,0.203,0.0,ST ROSE HOSPITAL
9.37,2.96,40.78366,-124.14246,168011.67,41064.00,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0,ST JOSEPH HOSPITAL
8.78,2.89,37.59283,-122.38249,156393.96,39799.25,0.0,0.495,0.619,1.114,0.0,0.0,0.0,0.0,PENINSULA MEDICAL CENTER
23.37,4.01,38.54384,-122.47401,445163.55,61947.00,0.0,0.206,0.618,1.648,0.0,0.0,0.0,0.0,ST HELENA HOSPITAL
16.12,3.72,38.57053,-121.45216,301494.04,56232.15,0.0,0.499,0.666,0.416,0.0,0.0,0.166,0.083,MERCY GENERAL HOSPITAL
17.09,3.54,33.97659,-117.38184,320749.85,52601.65,0.0,0.54,0.432,0.324,0.0,0.0,0.0,0.216,RIVERSIDE COMMUNITY HOSPITAL
7.35,3.12,32.68425,-117.08161,128014.29,44329.71,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,PARADISE VALLEY HOSPITAL
10.93,4.61,32.75426,-117.16592,198882.10,73745.00,0.0,0.475,0.158,0.079,0.0,0.238,0.0,0.0,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
10.84,2.81,32.77495,-117.01467,197019.48,38086.32,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0,GROSSMONT HOSPITAL
10.74,3.04,39.50528,-121.54100,195028.68,42708.40,0.0,0.366,0.61,0.0,0.0,0.0,0.244,0.0,OROVILLE HOSPITAL
10.78,2.93,35.38736,-119.01690,195867.20,40560.73,0.0,0.381,0.507,0.0,0.0,0.0,0.0,0.0,BAKERSFIELD MEMORIAL HOSPITAL
9.89,4.48,37.31288,-121.93329,178315.80,71172.53,0.0,0.196,0.589,0.786,0.0,0.0,0.589,0.0,SANTA CLARA VALLEY MEDICAL CENTER
11.80,2.96,39.74221,-121.85000,216028.00,41114.83,0.0,0.144,0.433,0.0,0.0,0.072,0.072,0.0,ENLOE MEDICAL CENTER
16.30,3.86,37.82206,-122.26275,305205.85,58968.97,0.0,0.897,0.489,0.489,0.0,0.0,0.163,0.0,ALTA BATES SUMMIT MEDICAL CENTER
15.48,4.17,37.79100,-122.43125,289008.33,64985.17,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
8.28,3.18,34.67486,-118.15771,146402.21,45388.79,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0,ANTELOPE VALLEY HOSPITAL MED CENTER
10.78,3.45,36.32737,-119.29548,195847.72,50901.61,0.0,0.4,0.599,0.4,0.0,0.0,0.2,0.067,KAWEAH DELTA MEDICAL CENTER
11.62,3.64,34.12834,-118.25777,212426.19,54525.41,0.0,0.231,0.463,0.116,0.0,0.0,0.116,0.0,GLENDALE MEM HOSPITAL & HLTH CENTER
8.70,3.61,36.73000,-119.78000,154706.02,54064.03,0.0,0.42,0.18,0.12,0.0,0.0,0.48,0.0,COMMUNITY REGIONAL MEDICAL CENTER
10.77,3.74,34.09643,-118.29103,195640.26,56501.93,0.0,0.695,0.139,0.834,0.0,0.0,0.0,0.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
9.95,2.80,33.78036,-117.86495,179362.13,38021.70,0.0,0.106,0.53,0.212,0.0,0.106,0.212,0.0,ST JOSEPH HOSPITAL
11.71,3.40,32.75143,-117.16083,214312.77,49880.32,0.052,0.105,0.472,0.21,0.0,0.0,0.052,0.0,SCRIPPS MERCY HOSPITAL
10.40,2.98,34.21674,-119.15631,188438.03,41442.26,0.0,0.601,0.601,0.241,0.0,0.12,0.0,0.0,ST JOHNS REGIONAL MEDICAL CENTER
14.74,3.48,37.96987,-121.28873,274218.56,51383.76,0.0,0.222,0.296,0.518,0.0,0.148,0.0,0.0,ST JOSEPHS MED CENTER OF STOCKTON
10.91,3.29,36.83532,-119.76562,198548.57,47659.49,0.0,0.275,0.826,0.138,0.0,0.0,0.184,0.0,SAINT AGNES MEDICAL CENTER
7.77,2.45,34.10130,-117.63651,136325.11,31103.16,0.0,0.539,0.673,0.135,0.0,0.0,0.135,0.0,SAN ANTONIO COMMUNITY HOSPITAL
12.92,3.77,32.79949,-117.15394,238281.32,57125.91,0.0,0.288,0.672,0.48,0.0,0.096,0.0,0.0,SHARP MEMORIAL HOSPITAL
11.42,3.43,33.92798,-117.43847,208564.11,50505.16,0.0,0.306,0.306,0.0,0.0,0.0,0.0,0.0,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
17.39,3.98,34.04932,-118.21746,326720.50,61209.90,0.0,0.339,0.904,0.0,0.0,0.0,0.113,0.0,WHITE MEMORIAL MEDICAL CENTER
11.30,4.18,33.92963,-118.20332,206259.38,65230.15,0.0,0.684,0.171,0.342,0.0,0.0,0.0,0.0,SAINT FRANCIS MEDICAL CENTER
9.07,2.86,34.95099,-120.41322,161948.72,39171.22,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,MARIAN MEDICAL CENTER
11.86,3.31,38.57155,-121.46874,217226.37,48097.93,0.0,0.129,0.579,0.643,0.0,0.0,0.0,0.0,SUTTER GENERAL HOSPITAL
14.53,3.72,34.02685,-118.48651,270083.29,56153.35,0.0,0.45,0.36,0.629,0.0,0.0,0.0,0.0,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
8.66,2.85,33.12535,-117.07336,153973.04,38878.42,0.0,0.56,0.56,0.224,0.0,0.0,0.224,0.112,PALOMAR MEDICAL CENTER
14.96,3.43,34.22014,-118.53410,278560.96,50461.56,0.0,1.27,0.098,0.586,0.0,0.195,0.098,0.0,NORTHRIDGE HOSPITAL MEDICAL CENTER
7.95,3.04,36.32362,-119.66726,139949.33,42772.17,0.0,0.129,0.516,0.0,0.0,0.0,0.0,0.0,ADVENTIST MEDICAL CENTER
19.47,4.11,37.36257,-121.84974,367803.15,63954.32,0.0,0.248,0.124,0.372,0.0,0.0,0.372,0.0,REGIONAL MEDICAL CENTER OF SAN JOSE
9.76,3.48,34.19494,-118.46319,175621.94,51501.94,0.0,0.295,0.59,0.295,0.0,0.0,0.0,0.0,VALLEY PRESBYTERIAN HOSPITAL
9.71,2.82,33.18402,-117.29661,174751.62,38363.05,0.0,0.196,0.294,2.551,0.0,0.196,0.196,0.0,TRI-CITY MEDICAL CENTER
11.45,3.19,34.13495,-117.27603,209183.65,45675.90,0.0,0.42,0.42,0.0,0.0,0.14,0.14,0.0,ST BERNARDINE MEDICAL CENTER
21.23,3.73,34.10081,-118.10588,402693.70,56328.10,0.0,0.207,0.414,0.414,0.0,0.0,0.414,0.0,SAN GABRIEL VALLEY MEDICAL CENTER
15.03,4.63,39.13822,-121.59436,280009.50,74196.94,0.0,0.727,0.83,0.311,0.0,0.104,0.0,0.104,RIDEOUT MEMORIAL HOSPITAL
7.20,3.36,34.09638,-118.32518,125109.68,49028.16,0.0,0.505,0.168,0.0,0.0,0.0,0.337,0.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
14.12,4.37,36.57886,-121.91316,261918.95,68988.30,0.0,0.488,0.781,0.098,0.0,0.098,0.098,0.0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
19.47,4.23,37.32710,-121.93863,367920.00,66256.74,0.0,0.121,0.364,0.486,0.0,0.0,0.121,0.0,O'CONNOR HOSPITAL
9.52,2.36,34.15804,-118.48755,170910.09,29192.82,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,ENCINO HOSPITAL MEDICAL CENTER
16.28,3.68,33.89465,-117.92716,304681.32,55448.32,0.0,0.103,0.309,0.516,0.0,0.0,0.206,0.0,ST JUDE MEDICAL CENTER
17.72,3.11,33.96860,-118.04831,333159.94,44177.60,0.074,0.298,0.521,0.298,0.0,0.0,0.744,0.074,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
13.48,3.42,38.44369,-122.70138,249278.80,50258.47,0.0,0.0,0.389,0.389,0.0,0.0,0.0,0.0,SANTA ROSA MEMORIAL HOSPITAL
25.45,4.57,37.51164,-120.83800,486308.77,72917.23,0.0,0.147,0.587,0.0,0.0,0.0,0.0,0.0,EMANUEL MEDICAL CENTER INC
19.37,4.27,37.91341,-122.04163,365972.48,67063.97,0.0,0.082,0.245,0.735,0.0,0.0,0.082,0.082,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
12.93,3.46,33.77991,-118.18602,238425.24,51017.29,0.0,0.0,0.523,0.0,0.0,0.174,0.0,0.0,ST MARY MEDICAL CENTER
30.00,5.19,37.55717,-121.98126,576296.00,85297.68,0.0,0.196,0.785,0.589,0.0,0.098,0.0,0.098,WASHINGTON HOSPITAL
17.24,3.40,37.48000,-122.25441,323702.69,49860.15,0.0,0.0,0.74,0.74,0.0,0.0,0.0,0.0,SEQUOIA HOSPITAL
13.03,3.06,32.61972,-117.02278,240362.44,43143.70,0.0,0.355,1.421,0.355,0.0,0.0,0.0,0.0,SHARP CHULA VISTA MEDICAL CENTER
9.61,3.23,33.62229,-117.92995,172771.21,46397.32,0.0,0.544,0.302,0.363,0.0,0.0,0.06,0.0,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
18.78,3.01,39.75720,-121.57018,354285.06,42035.89,0.0,0.199,0.596,0.794,0.0,0.0,0.0,0.397,FEATHER RIVER HOSPITAL
10.34,3.36,33.77483,-117.91329,187225.24,48984.52,0.0,0.892,0.297,0.0,0.0,0.0,0.0,0.0,GARDEN GROVE HOSPITAL & MEDICAL CENTER
16.75,3.81,34.07709,-117.75063,314029.88,57887.55,0.0,0.211,0.211,0.106,0.0,0.106,0.0,0.0,POMONA VALLEY HOSPITAL MEDICAL CENTER
22.85,3.58,34.15601,-118.32834,434796.46,53380.11,0.0,0.58,0.248,0.166,0.0,0.0,0.0,0.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR
12.44,3.38,34.28920,-118.74484,228821.07,49357.00,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
