size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
8.52,2.23,31.21673,-85.36307,AL,18000,4000,50,51,21,Southeast Alabama Medical Center
7.15,2.18,33.59616,-86.66750,AL,15000,4000,66,78,1,St Vincent'S East
10.20,2.53,33.25607,-86.81035,AL,22000,4000,83,70,63,Shelby Baptist Medical Center
8.14,2.38,32.36656,-86.28572,AL,17000,4000,50,68,82,Jackson Hospital & Clinic Inc
3.24,2.25,32.63806,-85.40413,AL,6000,4000,50,80,13,East Alabama Medical Center And Snf
7.20,2.69,33.50619,-86.80210,AL,15000,5000,66,45,11,University Of Alabama Hospital
6.54,2.18,33.66767,-85.83420,AL,14000,4000,0,0,0,Stringfellow Memorial Hospital
8.29,2.44,34.72007,-86.58108,AL,18000,4000,50,65,44,Huntsville Hospital
11.27,2.06,34.00426,-86.00339,AL,25000,3000,75,81,90,Riverview Regional Medical Center
7.90,2.14,34.57705,-87.01588,AL,17000,4000,0,0,0,Parkway Medical Center
5.54,2.06,33.50734,-86.78958,AL,11000,3000,50,72,21,St Vincent'S Birmingham
5.18,2.16,33.65640,-85.82284,AL,11000,4000,50,60,5,Northeast Alabama Regional Med Center
7.49,2.55,33.20521,-87.52546,AL,16000,4000,66,66,21,D C H Regional Medical Center
7.85,2.27,33.49854,-86.84633,AL,17000,4000,66,70,8,Baptist Medical Center-Princeton
9.03,2.33,33.51420,-86.74859,AL,19000,4000,66,27,11,Trinity Medical Center
6.15,2.26,30.69697,-88.08081,AL,13000,4000,66,55,24,Mobile Infirmary
9.96,2.55,32.43020,-87.05515,AL,22000,4000,50,91,32,Vaughan Reg Med Center Parkway Campus
9.68,2.17,34.69279,-86.57179,AL,21000,4000,50,77,33,Crestwood Medical Center
18.68,2.07,33.46420,-86.77409,AL,42000,3000,50,65,29,Brookwood Medical Center
9.91,2.87,33.46514,-112.05797,AZ,21000,5000,50,48,69,Banner Good Samaritan Medical Center
7.33,2.56,32.25294,-110.88135,AZ,15000,4000,50,48,3,Tucson Medical Center
7.54,2.40,32.22685,-110.85520,AZ,16000,4000,66,55,21,Carondelet St Josephs Hospital
7.57,2.62,34.56017,-112.48217,AZ,16000,5000,25,67,17,Yavapai Regional Medical Center
7.03,2.54,32.68274,-114.63506,AZ,15000,4000,50,63,69,Yuma Regional Medical Center
9.09,2.45,33.56894,-112.07108,AZ,20000,4000,50,80,16,John C Lincoln North Mountain Hospital
8.89,2.26,33.60432,-112.28378,AZ,19000,4000,83,75,95,Banner Boswell Medical Center
7.35,2.66,33.39097,-111.87638,AZ,16000,5000,66,80,56,Banner Desert Medical Center
7.88,2.34,33.41128,-111.68916,AZ,17000,4000,50,70,63,Banner Baywood Medical Center
