size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
4.94,2.48,31.21673,-85.36307,AL,18000,5000,50,51,21,Southeast Alabama Medical Center
3.51,2.43,34.80175,-87.67514,AL,10000,5000,50,65,2,Eliza Coffee Memorial Hospital
2.96,2.39,34.36605,-86.42127,AL,8000,5000,0,0,0,Marshall Medical Center North
3.64,2.48,33.59616,-86.66750,AL,11000,5000,66,78,1,St Vincent'S East
3.58,2.50,31.45215,-85.63140,AL,11000,5000,0,0,0,Dale Medical Center
3.24,2.48,32.63806,-85.40413,AL,9000,5000,50,80,13,East Alabama Medical Center And Snf
6.05,3.13,33.50619,-86.80210,AL,23000,8000,66,45,11,University Of Alabama Hospital
4.25,2.38,33.66767,-85.83420,AL,14000,5000,0,0,0,Stringfellow Memorial Hospital
9.21,2.47,34.00941,-85.97078,AL,39000,5000,66,67,27,Gadsden Regional Medical Center
4.05,2.42,33.65640,-85.82284,AL,13000,5000,50,60,5,Northeast Alabama Regional Med Center
3.42,2.44,34.59052,-86.97262,AL,10000,5000,50,77,54,Decatur General Hospital
5.04,2.54,33.20521,-87.52546,AL,18000,6000,66,66,21,D C H Regional Medical Center
8.42,2.67,33.51420,-86.74859,AL,35000,6000,66,27,11,Trinity Medical Center
4.50,2.42,30.69697,-88.08081,AL,15000,5000,66,55,24,Mobile Infirmary
4.68,2.45,33.37328,-86.99163,AL,16000,5000,50,67,6,Medical West An Affiliate Of Uab Health System
4.53,2.37,34.69279,-86.57179,AL,16000,5000,50,77,33,Crestwood Medical Center
10.79,2.37,33.46420,-86.77409,AL,47000,5000,50,65,29,Brookwood Medical Center
10.32,3.11,60.94901,-149.17033,AK,45000,8000,50,81,90,Providence Alaska Medical Center
7.56,4.03,64.83188,-147.73905,AK,31000,13000,0,0,0,Fairbanks Memorial Hospital
7.89,2.61,33.65965,-112.37283,AZ,33000,6000,50,77,97,Banner Del E Webb Medical Center
4.31,3.07,32.17796,-110.93203,AZ,14000,8000,50,100,28,University Of Arizona Medical Ctr- South Cam The
5.25,2.51,34.75031,-92.33897,AR,19000,5000,66,63,82,St Vincent Infirmary Medical Center
4.00,2.46,35.25046,-91.70056,AR,13000,5000,50,61,63,White County Medical Center
5.50,2.88,34.74866,-92.35422,AR,20000,7000,50,51,33,Uams Medical Center
2.66,2.57,35.83746,-90.70386,AR,6000,6000,50,75,2,St Bernards Medical Ctr
5.18,2.48,36.18082,-94.13644,AR,19000,5000,50,68,29,Nw Arkansas Hospitals Llc
2.74,2.50,34.35877,-92.78638,AR,6000,5000,0,0,0,Hot Spring County Medical Center
4.44,2.44,34.57290,-92.58508,AR,15000,5000,50,88,72,Saline Memorial Hospital
