size_charge,size_pay,lat,lon,charge,pay,name
2.47,2.21,35.83746,-90.70386,8017.52,6091.23,ST BERNARDS MEDICAL CTR
3.79,2.14,34.46784,-93.06667,17734.86,5628.36,ST JOSEPHS MERCY HEALTH CENTER INC
4.87,2.16,35.37445,-94.41868,25651.82,5756.73,SPARKS REGIONAL MEDICAL CENTER
3.44,2.11,35.35395,-94.35262,15169.29,5360.21,ST EDWARD MERCY MEDICAL CENTER
4.13,2.23,34.18894,-92.01886,20197.29,6269.97,JEFFERSON REGIONAL MEDICAL CENTER
4.28,2.20,34.74866,-92.35422,21294.94,6049.13,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
3.75,2.04,35.80838,-90.66658,17407.80,4844.88,NEA BAPTIST MEMORIAL HOSPITAL
3.71,2.09,34.81290,-92.20814,17117.29,5244.14,ST VINCENT MEDICAL CENTER/NORTH
3.02,2.08,34.80457,-92.35122,12079.04,5158.66,ARKANSAS SURGICAL HOSPITAL
9.13,2.57,37.59283,-122.38249,56839.58,8784.58,PENINSULA MEDICAL CENTER
5.84,2.53,37.76862,-122.43525,32752.92,8482.15,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP
8.55,2.74,38.57053,-121.45216,52592.49,9966.62,MERCY GENERAL HOSPITAL
7.13,2.89,32.75426,-117.16592,42187.50,11067.50,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
6.96,2.46,32.77495,-117.01467,40976.03,7950.34,GROSSMONT HOSPITAL
8.23,2.41,35.38736,-119.01690,50243.30,7605.00,BAKERSFIELD MEMORIAL HOSPITAL
7.81,2.30,39.74221,-121.85000,47181.37,6797.65,ENLOE MEDICAL CENTER
6.89,2.83,37.79100,-122.43125,40419.65,10676.12,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
9.12,2.50,34.67486,-118.15771,56808.18,8231.73,ANTELOPE VALLEY HOSPITAL MED CENTER
5.55,2.42,36.32737,-119.29548,30603.26,7650.00,KAWEAH DELTA MEDICAL CENTER
8.82,2.89,34.09643,-118.29103,54630.12,11108.00,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
6.37,2.61,33.78036,-117.86495,36595.16,9067.95,ST JOSEPH HOSPITAL
11.20,2.56,32.75143,-117.16083,72072.53,8666.65,SCRIPPS MERCY HOSPITAL
14.22,2.46,34.21674,-119.15631,94232.96,7952.58,ST JOHNS REGIONAL MEDICAL CENTER
9.31,2.52,37.96987,-121.28873,58206.40,8397.50,ST JOSEPHS MED CENTER OF STOCKTON
6.84,2.40,36.83532,-119.76562,40072.67,7502.90,SAINT AGNES MEDICAL CENTER
5.76,2.32,34.10130,-117.63651,32152.88,6899.41,SAN ANTONIO COMMUNITY HOSPITAL
8.19,2.50,32.79949,-117.15394,49950.26,8247.35,SHARP MEMORIAL HOSPITAL
10.73,2.44,34.95099,-120.41322,68598.00,7786.43,MARIAN MEDICAL CENTER
9.46,2.58,38.57155,-121.46874,59304.16,8823.09,SUTTER GENERAL HOSPITAL
6.23,2.54,34.02685,-118.48651,35568.75,8527.08,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
7.76,2.33,33.12535,-117.07336,46813.46,6963.92,PALOMAR MEDICAL CENTER
8.71,2.43,37.96125,-121.30103,53762.44,7712.69,DAMERON HOSPITAL
5.59,2.71,34.19494,-118.46319,30925.27,9754.85,VALLEY PRESBYTERIAN HOSPITAL
6.23,2.38,33.18402,-117.29661,35606.95,7336.80,TRI-CITY MEDICAL CENTER
7.16,2.49,34.13495,-117.27603,42424.64,8200.73,ST BERNARDINE MEDICAL CENTER
8.35,2.73,36.57886,-121.91316,51164.38,9957.79,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
10.49,2.80,37.78963,-122.41700,66876.62,10418.69,SAINT FRANCIS MEMORIAL HOSPITAL
16.87,2.73,37.32710,-121.93863,113628.42,9932.58,O'CONNOR HOSPITAL
6.36,2.27,33.89465,-117.92716,36533.67,6559.96,ST JUDE MEDICAL CENTER
11.24,2.36,33.96860,-118.04831,72310.69,7203.92,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
20.00,2.59,38.44369,-122.70138,136598.88,8931.65,SANTA ROSA MEMORIAL HOSPITAL
15.70,2.56,37.91341,-122.04163,105035.45,8667.48,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
15.24,2.70,37.55717,-121.98126,101693.08,9732.38,WASHINGTON HOSPITAL
11.69,2.59,34.58305,-118.14490,75662.54,8896.54,PALMDALE REGIONAL MEDICAL CENTER
6.48,2.37,33.62229,-117.92995,37398.18,7318.36,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
17.94,2.47,34.15601,-118.32834,121504.07,8046.50,PROVIDENCE SAINT JOSEPH MEDICAL CTR
11.26,2.68,34.14987,-118.23117,72479.55,9545.50,GLENDALE ADVENTIST MEDICAL CENTER
9.25,2.60,36.98999,-121.98357,57770.86,9009.80,DOMINICAN HOSPITAL
10.70,2.38,38.72562,-120.79096,68377.89,7352.95,MARSHALL MEDICAL CENTER (1-RH)
8.65,2.50,40.58654,-122.39168,53370.04,8236.54,MERCY MEDICAL CENTER REDDING
9.56,2.51,37.69502,-121.88095,60027.92,8309.25,VALLEYCARE MEDICAL CENTER
5.89,2.30,34.03009,-118.47833,33131.63,6779.41,SAINT JOHN'S HEALTH CENTER
8.89,2.83,37.85593,-122.25730,55076.76,10657.62,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
10.11,2.53,37.36934,-122.08047,64044.75,8494.73,EL CAMINO HOSPITAL
8.37,2.40,38.76514,-121.24979,51300.29,7476.97,SUTTER ROSEVILLE MEDICAL CENTER
9.84,2.33,32.88461,-117.22244,62064.15,6979.19,SCRIPPS MEMORIAL HOSPITAL LA JOLLA
7.26,2.87,34.05076,-117.26395,43151.69,10943.93,LOMA LINDA UNIVERSITY MEDICAL CENTER
6.90,2.69,36.65910,-121.64630,40509.42,9646.48,SALINAS VALLEY MEMORIAL HOSPITAL
6.45,2.32,33.81131,-118.34364,37190.32,6911.71,TORRANCE MEMORIAL MEDICAL CENTER
8.19,2.36,33.83891,-118.35677,49990.53,7247.75,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
9.54,2.50,37.25153,-121.94684,59892.19,8269.06,GOOD SAMARITAN HOSPITAL
6.57,2.57,34.08802,-117.89341,38071.80,8786.40,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
8.51,2.30,34.27459,-119.25812,52328.76,6747.00,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA
4.40,2.38,34.42951,-119.72333,22212.05,7392.12,SANTA BARBARA COTTAGE HOSPITAL
7.96,2.39,32.89810,-117.24217,48284.44,7409.19,SCRIPPS GREEN HOSPITAL
7.00,2.42,34.13364,-118.15275,41220.60,7629.09,HUNTINGTON MEMORIAL HOSPITAL
13.31,3.14,37.43436,-122.18013,87504.50,12931.34,STANFORD HOSPITAL
12.40,3.49,37.76421,-122.45716,80885.88,15484.22,UCSF MEDICAL CENTER
19.23,3.36,37.77449,-122.45429,130922.36,14517.73,ST MARY'S MEDICAL CENTER
8.76,2.67,34.05336,-118.26558,54123.65,9455.88,GOOD SAMARITAN HOSPITAL
7.91,2.50,33.80861,-118.18661,47956.28,8270.14,LONG BEACH MEMORIAL MEDICAL CENTER
8.29,2.60,37.69824,-122.08730,50714.12,8960.57,EDEN MEDICAL CENTER
