size_charge,size_pay,lat,lon,charge,pay,name
8.86,2.29,36.18082,-94.13644,21729.36,3278.45,NW ARKANSAS HOSPITALS, LLC
7.10,2.24,34.46784,-93.06667,16783.50,3119.45,ST JOSEPHS MERCY HEALTH CENTER INC
3.87,2.18,36.34295,-92.39442,7712.82,2958.61,BAXTER REGIONAL MEDICAL CENTER
3.62,2.21,35.08546,-92.45774,6996.85,3037.92,CONWAY REGIONAL MEDICAL CENTER
5.03,2.28,34.77770,-92.12539,10970.48,3239.71,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.76,2.25,36.05214,-90.49908,7402.52,3161.20,ARKANSAS METHODIST MEDICAL CENTER
6.51,2.30,35.28275,-93.14901,15132.55,3301.25,ST MARYS REGIONAL MEDICAL CENTER
5.97,2.54,35.14320,-90.18837,13600.69,3961.75,CRITTENDEN MEMORIAL HOSPITAL
3.32,2.33,36.28982,-90.99750,6161.67,3389.00,FIVE RIVERS MEDICAL CENTER
4.65,2.25,35.37445,-94.41868,9894.56,3160.88,SPARKS REGIONAL MEDICAL CENTER
5.35,2.17,35.35395,-94.35262,11856.85,2932.77,ST EDWARD MERCY MEDICAL CENTER
9.36,2.30,34.48600,-93.03521,23123.38,3310.75,NATIONAL PARK MEDICAL CENTER
8.64,2.24,35.60836,-91.26499,21098.90,3133.00,HARRIS HOSPITAL
5.87,2.19,34.57290,-92.58508,13316.67,2995.00,SALINE MEMORIAL HOSPITAL
7.01,2.31,33.22053,-92.67102,16517.10,3317.37,MEDICAL CENTER SOUTH ARKANSAS
5.36,2.26,34.74866,-92.35422,11881.93,3191.96,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.66,2.23,35.80838,-90.66658,12731.36,3108.30,NEA BAPTIST MEMORIAL HOSPITAL
6.39,2.35,35.76927,-91.63408,14793.12,3432.06,WHITE RIVER MEDICAL CENTER
4.85,2.14,34.73868,-92.39307,10465.11,2845.79,ARKANSAS HEART HOSPITAL
5.40,2.21,34.81290,-92.20814,11996.73,3060.33,ST VINCENT MEDICAL CENTER/NORTH
14.51,3.25,37.63362,-122.08802,37588.84,5981.59,ST ROSE HOSPITAL
11.10,2.69,40.78366,-124.14246,28014.00,4392.00,ST JOSEPH HOSPITAL
10.84,2.75,37.59283,-122.38249,27270.77,4574.92,PENINSULA MEDICAL CENTER
14.77,2.76,38.32472,-122.29671,38306.00,4580.00,QUEEN OF THE VALLEY MEDICAL CENTER
7.69,2.96,38.54384,-122.47401,18430.75,5158.92,ST HELENA HOSPITAL
14.00,2.86,38.57053,-121.45216,36153.71,4880.03,MERCY GENERAL HOSPITAL
15.08,2.91,33.97659,-117.38184,39190.61,5026.47,RIVERSIDE COMMUNITY HOSPITAL
8.51,2.89,32.68425,-117.08161,20738.60,4960.53,PARADISE VALLEY HOSPITAL
6.29,3.24,32.75426,-117.16592,14502.68,5932.40,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
11.60,2.63,32.77495,-117.01467,29420.48,4232.41,GROSSMONT HOSPITAL
6.74,2.59,40.89631,-124.09145,15769.23,4125.92,MAD RIVER COMMUNITY HOSPITAL
7.74,2.62,39.50528,-121.54100,18574.03,4206.22,OROVILLE HOSPITAL
10.01,2.69,35.38736,-119.01690,24943.72,4388.79,BAKERSFIELD MEMORIAL HOSPITAL
9.39,3.95,37.31288,-121.93329,23206.67,7946.75,SANTA CLARA VALLEY MEDICAL CENTER
10.95,2.47,39.74221,-121.85000,27594.97,3769.94,ENLOE MEDICAL CENTER
5.81,3.77,34.30238,-118.36957,13159.50,7433.39,LAC/OLIVE VIEW-UCLA MEDICAL CENTER
10.88,3.16,37.82206,-122.26275,27401.45,5714.22,ALTA BATES SUMMIT MEDICAL CENTER
9.88,3.17,32.78037,-115.56848,24593.24,5746.88,EL CENTRO REGIONAL MEDICAL CENTER
16.83,3.90,37.79100,-122.43125,44102.26,7794.93,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
7.21,2.67,33.93183,-116.94587,17097.11,4329.74,SAN GORGONIO MEMORIAL HOSPITAL
6.47,2.77,34.67486,-118.15771,15021.80,4622.77,ANTELOPE VALLEY HOSPITAL MED CENTER
8.57,2.68,36.32737,-119.29548,20898.24,4375.76,KAWEAH DELTA MEDICAL CENTER
10.80,3.03,34.12834,-118.25777,27182.25,5347.18,GLENDALE MEM HOSPITAL & HLTH CENTER
9.05,3.07,36.73000,-119.78000,22252.66,5466.59,COMMUNITY REGIONAL MEDICAL CENTER
12.37,3.32,34.09643,-118.29103,31580.42,6161.00,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
8.65,2.85,37.82448,-122.25759,21144.33,4857.00,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND
11.58,2.88,32.75143,-117.16083,29354.29,4918.75,SCRIPPS MERCY HOSPITAL
11.57,2.61,33.73798,-118.30525,29332.08,4179.62,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO
14.32,2.98,37.95337,-122.33672,37053.77,5213.45,DOCTORS MEDICAL CENTER-SAN PABLO
12.01,2.72,34.21674,-119.15631,30570.08,4484.90,ST JOHNS REGIONAL MEDICAL CENTER
14.99,2.81,37.96987,-121.28873,38929.09,4747.36,ST JOSEPHS MED CENTER OF STOCKTON
11.84,3.10,34.13101,-117.32181,30090.33,5540.48,COMMUNITY HOSPITAL OF SAN BERNARDINO
10.07,3.00,33.98932,-118.22426,25129.50,5266.17,COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK
7.69,2.58,36.83532,-119.76562,18450.18,4095.22,SAINT AGNES MEDICAL CENTER
11.16,2.47,34.10130,-117.63651,28167.72,3790.38,SAN ANTONIO COMMUNITY HOSPITAL
14.20,2.73,32.79949,-117.15394,36706.67,4503.40,SHARP MEMORIAL HOSPITAL
11.49,3.09,38.13118,-122.23732,29109.30,5524.48,SUTTER SOLANO MEDICAL CENTER
13.82,2.92,33.92798,-117.43847,35647.59,5049.00,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
11.49,3.25,34.04932,-118.21746,29103.78,5963.83,WHITE MEMORIAL MEDICAL CENTER
11.69,3.28,33.92963,-118.20332,29680.68,6057.02,SAINT FRANCIS MEDICAL CENTER
10.57,3.04,34.95099,-120.41322,26529.42,5382.83,MARIAN MEDICAL CENTER
10.03,2.85,38.57155,-121.46874,24998.34,4839.80,SUTTER GENERAL HOSPITAL
8.09,2.93,34.07558,-118.28424,19559.08,5059.00,TEMPLE COMMUNITY HOSPITAL
9.99,2.80,34.02685,-118.48651,24889.05,4701.39,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
9.46,2.51,33.12535,-117.07336,23402.14,3893.00,PALOMAR MEDICAL CENTER
14.76,2.74,34.22014,-118.53410,38300.71,4544.80,NORTHRIDGE HOSPITAL MEDICAL CENTER
19.99,2.48,37.80132,-121.19690,52980.65,3808.22,DOCTORS HOSPITAL OF MANTECA
6.04,2.64,36.32362,-119.66726,13809.74,4270.05,ADVENTIST MEDICAL CENTER
16.99,2.65,37.96125,-121.30103,44557.07,4286.14,DAMERON HOSPITAL
7.94,2.44,34.20495,-118.21589,19131.12,3700.24,VERDUGO HILLS HOSPITAL
24.92,3.42,37.36257,-121.84974,66827.55,6455.86,REGIONAL MEDICAL CENTER OF SAN JOSE
8.91,3.05,34.19494,-118.46319,21850.11,5420.94,VALLEY PRESBYTERIAN HOSPITAL
8.73,2.58,33.18402,-117.29661,21343.12,4076.88,TRI-CITY MEDICAL CENTER
11.06,2.74,34.13495,-117.27603,27887.03,4546.34,ST BERNARDINE MEDICAL CENTER
14.64,2.89,34.10081,-118.10588,37953.91,4966.23,SAN GABRIEL VALLEY MEDICAL CENTER
9.18,2.64,39.13822,-121.59436,22615.92,4245.64,RIDEOUT MEMORIAL HOSPITAL
7.23,3.11,34.09638,-118.32518,17135.92,5577.31,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
12.62,3.41,36.57886,-121.91316,32270.96,6408.74,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
8.39,3.25,34.03705,-118.26575,20409.25,5965.28,CALIFORNIA HOSPITAL MEDICAL CENTER LA
17.12,3.10,37.32710,-121.93863,44902.71,5550.75,O'CONNOR HOSPITAL
10.25,2.43,34.15804,-118.48755,25620.08,3662.23,ENCINO HOSPITAL MEDICAL CENTER
8.40,3.21,34.28029,-119.25410,20432.04,5852.38,VENTURA COUNTY MEDICAL CENTER
12.65,3.33,37.88664,-121.28308,32366.85,6189.92,SAN JOAQUIN GENERAL HOSPITAL
12.37,2.42,33.89465,-117.92716,31588.00,3638.59,ST JUDE MEDICAL CENTER
