size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
3.32,2.37,35.83746,-90.70386,7780.67,4791.98,0.50,0.75,0.03,ST BERNARDS MEDICAL CTR
7.26,2.27,36.18082,-94.13644,20176.23,4492.55,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
5.21,2.20,34.46784,-93.06667,13730.94,4277.29,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.05,2.14,36.34295,-92.39442,6926.18,4085.35,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
4.62,2.19,35.08546,-92.45774,11871.89,4230.09,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
4.84,2.22,34.77770,-92.12539,12553.99,4318.64,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.78,2.28,36.05214,-90.49908,9248.47,4522.35,0.00,0.00,0.00,ARKANSAS METHODIST MEDICAL CENTER
6.51,2.32,35.28275,-93.14901,17809.77,4656.42,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
5.12,2.61,35.14320,-90.18837,13452.62,5558.30,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
2.88,2.22,36.28982,-90.99750,6396.67,4324.33,0.00,0.00,0.00,FIVE RIVERS MEDICAL CENTER
3.97,2.30,33.57575,-92.83683,9833.31,4573.29,0.00,0.00,0.00,OUACHITA COUNTY MEDICAL CENTER
2.75,2.22,33.62900,-91.79096,5992.78,4318.68,0.00,0.00,0.00,DREW MEMORIAL HOSPITAL
4.42,2.26,35.37445,-94.41868,11261.96,4449.92,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
6.45,2.14,35.35395,-94.35262,17646.60,4078.32,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.75,2.32,33.27510,-93.24001,9149.39,4635.67,0.00,0.00,0.00,MAGNOLIA HOSPITAL
5.18,2.73,35.94320,-89.91713,13635.10,5940.37,0.00,0.00,0.00,GREAT RIVER MEDICAL CENTER
6.50,2.42,34.18894,-92.01886,17793.97,4953.87,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
3.97,2.44,34.51764,-91.55932,9841.02,5016.49,0.00,0.00,0.00,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
3.98,2.15,34.87240,-92.12256,9858.08,4124.00,0.00,0.00,0.00,NORTH METRO MEDICAL CENTER
3.26,2.29,34.35877,-92.78638,7610.46,4559.79,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
10.26,2.38,34.48600,-93.03521,29602.02,4820.60,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
9.57,2.27,35.60836,-91.26499,27443.53,4480.00,0.00,0.00,0.00,HARRIS HOSPITAL
4.05,2.20,34.57290,-92.58508,10099.64,4254.44,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
7.07,2.43,34.51022,-90.62718,19568.16,4983.00,0.00,0.00,0.00,HELENA REGIONAL MEDICAL CENTER
6.53,2.31,33.22053,-92.67102,17883.16,4603.08,0.50,0.70,0.14,MEDICAL CENTER SOUTH ARKANSAS
6.06,2.29,33.64905,-93.58704,16395.70,4536.70,0.00,0.00,0.00,MEDICAL PARK HOSPITAL
5.28,2.26,34.74866,-92.35422,13950.57,4461.12,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.48,2.34,35.80838,-90.66658,14578.16,4718.84,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
5.89,2.34,35.76927,-91.63408,15858.86,4708.03,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
4.96,2.16,34.81290,-92.20814,12962.30,4144.55,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
17.32,3.71,37.63362,-122.08802,51802.30,9006.72,0.50,0.60,0.07,ST ROSE HOSPITAL
10.01,2.82,40.78366,-124.14246,28819.89,6221.08,0.50,0.64,0.64,ST JOSEPH HOSPITAL
10.93,2.93,37.59283,-122.38249,31731.89,6551.11,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
14.27,2.92,37.76862,-122.43525,42233.50,6534.69,0.50,0.50,0.74,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP
10.99,2.89,38.32472,-122.29671,31925.21,6428.48,0.50,0.72,0.83,QUEEN OF THE VALLEY MEDICAL CENTER
