size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
7.79,2.34,31.21673,-85.36307,AL,42000,10000,50,51,21,Southeast Alabama Medical Center
3.94,2.31,34.22148,-86.15966,AL,20000,10000,50,91,54,Marshall Medical Center South
7.41,2.16,34.80175,-87.67514,AL,40000,9000,50,65,2,Eliza Coffee Memorial Hospital
5.08,2.12,34.36605,-86.42127,AL,26000,9000,0,0,0,Marshall Medical Center North
5.11,2.13,33.59616,-86.66750,AL,26000,9000,66,78,1,St Vincent'S East
9.20,2.22,33.25607,-86.81035,AL,51000,9000,83,70,63,Shelby Baptist Medical Center
4.28,2.18,34.74649,-87.69895,AL,22000,9000,50,91,33,Helen Keller Memorial Hospital
7.25,2.18,32.36656,-86.28572,AL,39000,9000,50,68,82,Jackson Hospital & Clinic Inc
4.24,2.27,32.63806,-85.40413,AL,21000,10000,50,80,13,East Alabama Medical Center And Snf
11.88,2.15,33.66767,-85.83420,AL,67000,9000,0,0,0,Stringfellow Memorial Hospital
8.61,2.35,34.72007,-86.58108,AL,47000,10000,50,65,44,Huntsville Hospital
16.21,2.22,34.00941,-85.97078,AL,92000,9000,66,67,27,Gadsden Regional Medical Center
11.64,2.13,34.00426,-86.00339,AL,65000,9000,75,81,90,Riverview Regional Medical Center
11.61,2.24,31.23767,-85.45625,AL,65000,10000,50,55,79,Flowers Hospital
5.46,2.19,33.50734,-86.78958,AL,29000,9000,50,72,21,St Vincent'S Birmingham
7.60,2.18,33.65640,-85.82284,AL,41000,9000,50,60,5,Northeast Alabama Regional Med Center
9.81,2.08,30.42700,-87.68386,AL,54000,9000,50,95,24,South Baldwin Regional Medical Center
3.76,2.35,34.59052,-86.97262,AL,19000,10000,50,77,54,Decatur General Hospital
5.55,2.11,30.68199,-88.19897,AL,29000,9000,83,86,0,Providence Hospital
7.94,2.46,33.20521,-87.52546,AL,43000,11000,66,66,21,D C H Regional Medical Center
4.40,2.00,30.51916,-87.88842,AL,22000,8000,50,90,17,Thomas Hospital
15.57,2.52,33.49854,-86.84633,AL,88000,11000,66,70,8,Baptist Medical Center-Princeton
17.12,2.38,33.51420,-86.74859,AL,98000,10000,66,27,11,Trinity Medical Center
6.00,2.31,30.69697,-88.08081,AL,32000,10000,66,55,24,Mobile Infirmary
12.72,2.14,34.69279,-86.57179,AL,72000,9000,50,77,33,Crestwood Medical Center
14.56,2.21,33.46420,-86.77409,AL,82000,9000,50,65,29,Brookwood Medical Center
7.29,2.34,33.16547,-86.25380,AL,39000,10000,0,0,0,Coosa Valley Medical Center
9.38,3.15,60.94901,-149.17033,AK,52000,15000,50,81,90,Providence Alaska Medical Center
9.22,2.93,33.46514,-112.05797,AZ,51000,14000,50,48,69,Banner Good Samaritan Medical Center
7.47,2.59,32.25294,-110.88135,AZ,40000,12000,50,48,3,Tucson Medical Center
12.53,3.20,34.73471,-112.03149,AZ,70000,15000,50,73,82,Verde Valley Medical Center
8.35,2.47,32.22734,-111.00065,AZ,46000,11000,33,75,63,Carondelet St  Marys Hospital
8.77,2.34,32.22685,-110.85520,AZ,48000,10000,66,55,21,Carondelet St Josephs Hospital
6.37,2.68,34.56017,-112.48217,AZ,34000,12000,25,67,17,Yavapai Regional Medical Center
8.93,2.67,32.68274,-114.63506,AZ,49000,12000,50,63,69,Yuma Regional Medical Center
6.62,2.57,33.56894,-112.07108,AZ,35000,11000,50,80,16,John C Lincoln North Mountain Hospital
7.42,2.62,32.88123,-111.71067,AZ,40000,12000,50,81,11,Casa Grande Regional Medical Center
10.53,3.64,35.20923,-111.64486,AZ,59000,18000,66,78,88,Flagstaff Medical Center
11.67,2.70,34.25095,-111.31972,AZ,65000,12000,0,0,0,Payson Regional Medical Center
11.80,2.54,33.29750,-111.87461,AZ,66000,11000,50,78,54,Chandler Regional Medical Center
9.13,2.34,33.60432,-112.28378,AZ,50000,10000,83,75,95,Banner Boswell Medical Center
12.02,3.65,32.24152,-110.94631,AZ,67000,18000,50,37,39,University Of Arizona Medical Ctr-Universit The
8.83,2.80,33.39097,-111.87638,AZ,49000,13000,66,80,56,Banner Desert Medical Center
9.13,2.35,32.32103,-111.01102,AZ,50000,10000,50,71,20,Northwest Medical Center
9.55,2.45,33.58235,-111.88527,AZ,53000,11000,66,68,63,Scottsdale Healthcare-Shea Medical Center
9.42,2.39,33.41128,-111.68916,AZ,52000,10000,50,70,63,Banner Baywood Medical Center
9.16,2.88,33.60949,-112.18129,AZ,50000,13000,66,73,76,Banner Thunderbird Medical Center
10.98,2.38,33.65965,-112.37283,AZ,61000,10000,50,77,97,Banner Del E Webb Medical Center
7.40,2.64,33.65497,-112.20040,AZ,40000,12000,50,90,39,Arrowhead Hospital
18.09,2.55,35.11068,-114.55505,AZ,103000,11000,50,87,63,Western Arizona Regional Medical Ctr
6.80,3.09,33.65947,-111.95626,AZ,37000,15000,66,53,95,Mayo Clinic Hospital
9.31,2.20,32.42929,-110.94843,AZ,51000,9000,50,73,85,Oro Valley Hospital
10.23,2.76,33.47818,-112.25744,AZ,57000,13000,50,58,69,Banner Estrella Medical Center
17.72,2.98,33.28686,-111.75246,AZ,101000,14000,50,63,63,Mercy Gilbert Medical Center
13.33,3.16,33.39128,-111.61125,AZ,75000,15000,50,60,11,Mountain Vista Medical Center Lp
6.86,2.28,36.10940,-94.16036,AR,37000,10000,33,77,74,Washington Regional Med Ctr At North Hills
6.93,2.33,34.75031,-92.33897,AR,37000,10000,66,63,82,St Vincent Infirmary Medical Center
5.61,2.18,36.31007,-94.18471,AR,29000,9000,50,67,44,Mercy Medical Center
5.85,2.54,35.25046,-91.70056,AR,31000,11000,50,61,63,White County Medical Center
10.08,2.31,36.18082,-94.13644,AR,56000,10000,50,68,29,Nw Arkansas Hospitals Llc
6.18,2.26,34.46784,-93.06667,AR,33000,10000,66,66,85,St Josephs Mercy Health Center Inc
3.97,2.27,36.34295,-92.39442,AR,20000,10000,50,65,57,Baxter Regional Medical Center
6.34,2.19,34.77770,-92.12539,AR,34000,9000,50,60,13,Baptist Health Medical Center North Little Rock
6.12,2.40,35.37445,-94.41868,AR,32000,10000,50,53,85,Sparks Regional Medical Center
6.33,2.36,35.35395,-94.35262,AR,34000,10000,50,66,11,St Edward Mercy Medical Center
17.32,2.60,34.48600,-93.03521,AR,99000,12000,50,51,8,National Park Medical Center
