size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
9.01,2.43,36.18082,-94.13644,85965.25,17739.17,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0,NW ARKANSAS HOSPITALS LLC
5.86,2.41,34.46784,-93.06667,53282.64,17468.57,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
5.63,2.30,36.34295,-92.39442,50943.92,16317.38,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
6.44,2.45,34.77770,-92.12539,59366.44,17899.00,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
6.54,2.43,35.35395,-94.35262,60405.69,17711.38,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
8.63,2.64,34.18894,-92.01886,82083.56,19911.50,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0,JEFFERSON REGIONAL MEDICAL CENTER
8.33,2.45,33.22053,-92.67102,78938.07,17877.60,0.0,0.379,0.947,0.0,0.0,0.189,0.0,0.0,MEDICAL CENTER SOUTH ARKANSAS
6.35,2.45,34.74866,-92.35422,58360.63,17863.36,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
7.24,2.51,35.80838,-90.66658,67631.00,18500.00,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134,NEA BAPTIST MEMORIAL HOSPITAL
7.41,2.30,34.73868,-92.39307,69364.68,16362.58,0.0,0.101,0.101,0.101,0.0,0.0,0.0,0.0,ARKANSAS HEART HOSPITAL
10.47,3.14,40.78366,-124.14246,101140.89,25044.27,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0,ST JOSEPH HOSPITAL
