size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
9.00,2.25,36.18082,-94.13644,41469.15,6450.63,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0,NW ARKANSAS HOSPITALS LLC
6.19,2.20,34.46784,-93.06667,26916.19,6197.44,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
4.12,2.13,36.34295,-92.39442,16140.69,5829.27,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
4.04,2.20,35.08546,-92.45774,15745.65,6212.81,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0,CONWAY REGIONAL MEDICAL CENTER
5.16,2.26,34.77770,-92.12539,21530.57,6503.07,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.27,2.26,36.05214,-90.49908,16945.16,6490.95,0.0,0.0,0.51,0.255,0.0,0.0,0.0,0.0,ARKANSAS METHODIST MEDICAL CENTER
8.66,2.22,35.28275,-93.14901,39692.56,6281.95,0.0,0.429,1.287,0.0,0.0,0.0,0.0,0.215,ST MARYS REGIONAL MEDICAL CENTER
7.08,2.53,35.14320,-90.18837,31527.15,7930.19,0.0,0.303,0.303,0.0,0.0,0.0,0.0,0.0,CRITTENDEN MEMORIAL HOSPITAL
5.89,2.25,35.37445,-94.41868,25351.09,6481.94,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069,SPARKS REGIONAL MEDICAL CENTER
5.57,2.13,35.35395,-94.35262,23659.60,5836.32,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
5.98,2.35,34.18894,-92.01886,25822.90,6974.05,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0,JEFFERSON REGIONAL MEDICAL CENTER
10.96,2.28,34.48600,-93.03521,51619.48,6637.21,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0,NATIONAL PARK MEDICAL CENTER
6.24,2.17,34.57290,-92.58508,27153.10,6032.86,0.0,0.442,0.221,0.0,0.0,0.0,0.0,0.0,SALINE MEMORIAL HOSPITAL
9.63,2.49,33.22053,-92.67102,44753.36,7707.12,0.0,0.379,0.947,0.0,0.0,0.189,0.0,0.0,MEDICAL CENTER SOUTH ARKANSAS
5.45,2.22,34.74866,-92.35422,23035.38,6326.00,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.18,2.13,35.80838,-90.66658,21649.80,5835.05,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134,NEA BAPTIST MEMORIAL HOSPITAL
4.96,2.30,35.76927,-91.63408,20494.33,6701.59,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0,WHITE RIVER MEDICAL CENTER
4.58,2.09,34.73868,-92.39307,18529.43,5615.44,0.0,0.101,0.101,0.101,0.0,0.0,0.0,0.0,ARKANSAS HEART HOSPITAL
5.45,2.10,34.81290,-92.20814,23076.47,5657.14,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,ST VINCENT MEDICAL CENTER/NORTH
18.12,3.40,37.63362,-122.08802,88770.98,12444.32,0.0,1.826,0.609,0.812,0.0,0.0,0.203,0.0,ST ROSE HOSPITAL
9.70,2.68,40.78366,-124.14246,45112.96,8689.00,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0,ST JOSEPH HOSPITAL
15.49,2.75,38.32472,-122.29671,75129.22,9061.78,0.0,0.306,1.073,0.613,0.0,0.0,0.0,0.0,QUEEN OF THE VALLEY MEDICAL CENTER
11.04,2.97,38.54384,-122.47401,52053.62,10188.66,0.0,0.206,0.618,1.648,0.0,0.0,0.0,0.0,ST HELENA HOSPITAL
11.22,2.93,38.57053,-121.45216,53011.51,9977.61,0.0,0.499,0.666,0.416,0.0,0.0,0.166,0.083,MERCY GENERAL HOSPITAL
12.53,3.14,33.97659,-117.38184,59761.36,11080.07,0.0,0.54,0.432,0.324,0.0,0.0,0.0,0.216,RIVERSIDE COMMUNITY HOSPITAL
10.78,2.90,32.68425,-117.08161,50703.00,9807.30,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,PARADISE VALLEY HOSPITAL
10.46,3.44,32.75426,-117.16592,49028.46,12614.62,0.0,0.475,0.158,0.079,0.0,0.238,0.0,0.0,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
13.63,2.55,32.77495,-117.01467,65508.61,8031.48,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0,GROSSMONT HOSPITAL
9.95,2.78,35.38736,-119.01690,46417.98,9183.54,0.0,0.381,0.507,0.0,0.0,0.0,0.0,0.0,BAKERSFIELD MEMORIAL HOSPITAL
11.48,4.02,37.31288,-121.93329,54359.48,15621.52,0.0,0.196,0.589,0.786,0.0,0.0,0.589,0.0,SANTA CLARA VALLEY MEDICAL CENTER
13.49,2.46,39.74221,-121.85000,64777.14,7521.20,0.0,0.144,0.433,0.0,0.0,0.072,0.072,0.0,ENLOE MEDICAL CENTER
10.04,4.12,34.30238,-118.36957,46859.40,16160.00,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,LAC/OLIVE VIEW-UCLA MEDICAL CENTER
11.20,3.15,37.82206,-122.26275,52908.44,11140.41,0.0,0.897,0.489,0.489,0.0,0.0,0.163,0.0,ALTA BATES SUMMIT MEDICAL CENTER
15.97,3.27,37.79100,-122.43125,77614.18,11752.21,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
7.02,2.72,34.67486,-118.15771,31222.73,8902.94,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0,ANTELOPE VALLEY HOSPITAL MED CENTER
8.27,2.65,36.32737,-119.29548,37683.51,8533.36,0.0,0.4,0.599,0.4,0.0,0.0,0.2,0.067,KAWEAH DELTA MEDICAL CENTER
7.82,3.04,34.12834,-118.25777,35331.15,10575.85,0.0,0.231,0.463,0.116,0.0,0.0,0.116,0.0,GLENDALE MEM HOSPITAL & HLTH CENTER
8.76,3.15,36.73000,-119.78000,40234.82,11120.31,0.0,0.42,0.18,0.12,0.0,0.0,0.48,0.0,COMMUNITY REGIONAL MEDICAL CENTER
16.39,3.35,34.09643,-118.29103,79806.51,12137.15,0.0,0.695,0.139,0.834,0.0,0.0,0.0,0.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
10.87,2.53,33.78036,-117.86495,51196.62,7888.10,0.0,0.106,0.53,0.212,0.0,0.106,0.212,0.0,ST JOSEPH HOSPITAL
10.09,4.13,37.33569,-121.99595,47149.25,16187.75,0.0,0.112,0.56,1.456,0.0,0.0,0.112,0.112,KAISER FOUNDATION HOSPITAL-SANTA CLARA
3.51,2.82,37.78248,-122.44290,12975.55,9415.00,0.0,0.0,0.349,1.221,0.0,0.0,0.523,0.0,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
11.50,2.84,32.75143,-117.16083,54440.24,9540.82,0.052,0.105,0.472,0.21,0.0,0.0,0.052,0.0,SCRIPPS MERCY HOSPITAL
12.72,2.97,37.95337,-122.33672,60792.50,10174.43,0.0,0.0,0.203,1.829,0.0,0.0,0.406,0.203,DOCTORS MEDICAL CENTER-SAN PABLO
10.61,2.73,34.21674,-119.15631,49808.93,8930.64,0.0,0.601,0.601,0.241,0.0,0.12,0.0,0.0,ST JOHNS REGIONAL MEDICAL CENTER
