size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
7.72,2.31,36.18082,-94.13644,41176.16,8547.48,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0,NW ARKANSAS HOSPITALS LLC
6.55,2.29,34.46784,-93.06667,34109.97,8376.12,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
3.72,2.13,36.34295,-92.39442,17011.77,7449.17,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
4.23,2.20,35.08546,-92.45774,20098.25,7829.42,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0,CONWAY REGIONAL MEDICAL CENTER
3.97,2.18,34.77770,-92.12539,18562.44,7760.62,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.82,2.25,36.05214,-90.49908,17654.72,8181.17,0.0,0.0,0.51,0.255,0.0,0.0,0.0,0.0,ARKANSAS METHODIST MEDICAL CENTER
7.36,2.35,35.28275,-93.14901,38963.38,8751.75,0.0,0.429,1.287,0.0,0.0,0.0,0.0,0.215,ST MARYS REGIONAL MEDICAL CENTER
6.39,2.71,35.14320,-90.18837,33114.83,10938.88,0.0,0.303,0.303,0.0,0.0,0.0,0.0,0.0,CRITTENDEN MEMORIAL HOSPITAL
3.00,2.08,33.62900,-91.79096,12698.67,7147.92,0.0,0.0,0.559,0.0,0.0,0.0,0.0,0.0,DREW MEMORIAL HOSPITAL
4.48,2.30,35.37445,-94.41868,21611.91,8451.17,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069,SPARKS REGIONAL MEDICAL CENTER
6.12,2.18,35.35395,-94.35262,31522.78,7721.28,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
6.08,2.44,34.18894,-92.01886,31294.55,9283.68,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0,JEFFERSON REGIONAL MEDICAL CENTER
4.96,2.21,34.35877,-92.78638,24480.81,7913.24,0.0,0.0,1.401,0.0,0.0,0.0,0.0,0.0,HOT SPRING COUNTY MEDICAL CENTER
12.13,2.43,34.48600,-93.03521,67783.51,9264.35,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0,NATIONAL PARK MEDICAL CENTER
8.97,2.20,35.60836,-91.26499,48724.50,7873.31,0.0,0.444,1.333,0.0,0.0,0.0,0.0,0.0,HARRIS HOSPITAL
4.13,2.21,34.57290,-92.58508,19512.08,7885.78,0.0,0.442,0.221,0.0,0.0,0.0,0.0,0.0,SALINE MEMORIAL HOSPITAL
6.02,2.45,34.51022,-90.62718,30877.75,9376.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HELENA REGIONAL MEDICAL CENTER
