size_charge,size_pay,lat,lon,charge,pay,name
4.79,2.28,34.46784,-93.06667,15461.00,5452.69,ST JOSEPHS MERCY HEALTH CENTER INC
3.15,2.15,36.34295,-92.39442,8930.82,4929.73,BAXTER REGIONAL MEDICAL CENTER
4.18,2.23,35.08546,-92.45774,13051.78,5232.94,CONWAY REGIONAL MEDICAL CENTER
4.91,2.23,34.77770,-92.12539,15929.87,5248.00,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
8.46,2.72,33.22053,-92.67102,30138.82,7190.45,MEDICAL CENTER SOUTH ARKANSAS
6.83,2.35,34.74866,-92.35422,23606.18,5715.18,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
4.33,2.12,34.73868,-92.39307,13627.08,4794.25,ARKANSAS HEART HOSPITAL
12.31,3.43,38.57053,-121.45216,45503.83,10031.33,MERCY GENERAL HOSPITAL
10.59,3.84,32.75426,-117.16592,38619.25,11660.83,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
10.87,2.68,32.77495,-117.01467,39754.00,7047.17,GROSSMONT HOSPITAL
14.37,2.55,39.74221,-121.85000,53741.64,6526.82,ENLOE MEDICAL CENTER
20.80,3.58,37.82206,-122.26275,79434.67,10633.93,ALTA BATES SUMMIT MEDICAL CENTER
15.23,3.82,37.79100,-122.43125,57180.59,11609.00,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
15.56,3.17,32.75143,-117.16083,58480.35,9012.85,SCRIPPS MERCY HOSPITAL
13.92,2.90,37.96987,-121.28873,51942.82,7906.91,ST JOSEPHS MED CENTER OF STOCKTON
6.87,2.67,36.83532,-119.76562,23792.94,6993.83,SAINT AGNES MEDICAL CENTER
17.70,5.17,32.79949,-117.15394,67044.79,16983.37,SHARP MEMORIAL HOSPITAL
14.95,3.09,38.57155,-121.46874,56036.82,8696.32,SUTTER GENERAL HOSPITAL
11.50,2.86,34.02685,-118.48651,42256.47,7773.80,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
13.37,2.92,34.22014,-118.53410,49739.36,8008.00,NORTHRIDGE HOSPITAL MEDICAL CENTER
8.12,2.72,39.13822,-121.59436,28777.62,7204.44,RIDEOUT MEMORIAL HOSPITAL
14.22,3.02,36.57886,-121.91316,53128.05,8417.14,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
19.31,2.78,37.91341,-122.04163,73469.82,7450.73,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
7.99,2.44,33.62229,-117.92995,28246.47,6098.16,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
16.55,4.39,34.06675,-118.44613,62457.50,13876.04,RONALD REAGAN UCLA MEDICAL CENTER
18.05,2.83,34.27915,-118.46006,68445.93,7641.13,PROVIDENCE HOLY CROSS MEDICAL CENTER
10.86,2.92,40.58654,-122.39168,39711.73,8000.60,MERCY MEDICAL CENTER REDDING
9.05,2.73,34.50107,-117.17285,32490.73,7255.82,ST MARY MEDICAL CENTER
14.53,3.45,37.85593,-122.25730,54392.17,10098.25,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
13.55,2.86,37.36934,-122.08047,50475.73,7776.00,EL CAMINO HOSPITAL
9.93,2.68,38.76514,-121.24979,35983.94,7051.50,SUTTER ROSEVILLE MEDICAL CENTER
19.44,4.84,34.05076,-117.26395,73974.47,15665.41,LOMA LINDA UNIVERSITY MEDICAL CENTER
12.99,2.55,33.81131,-118.34364,48238.60,6514.73,TORRANCE MEMORIAL MEDICAL CENTER
13.15,2.62,33.83891,-118.35677,48869.17,6783.83,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
23.43,3.70,37.94748,-122.53677,89936.00,11096.21,MARIN GENERAL HOSPITAL
15.82,2.93,37.25153,-121.94684,59532.31,8027.12,GOOD SAMARITAN HOSPITAL
6.48,3.13,34.08802,-117.89341,22222.92,8859.00,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
14.35,3.01,34.42951,-119.72333,53641.00,8344.58,SANTA BARBARA COTTAGE HOSPITAL
8.30,2.71,34.13364,-118.15275,29504.35,7165.59,HUNTINGTON MEMORIAL HOSPITAL
24.80,4.33,37.43436,-122.18013,95398.50,13650.16,STANFORD HOSPITAL
10.38,3.07,37.34027,-120.46817,37816.73,8598.27,MERCY MEDICAL CENTER
14.24,4.18,37.76421,-122.45716,53222.17,13026.57,UCSF MEDICAL CENTER
10.30,2.79,35.38338,-119.01969,37491.36,7489.27,SAN JOAQUIN COMMUNITY HOSPITAL
12.43,3.19,34.05336,-118.26558,46005.40,9080.53,GOOD SAMARITAN HOSPITAL
15.77,2.47,34.20285,-118.62962,59312.32,6186.64,WEST HILLS HOSPITAL & MEDICAL CENTER
7.75,2.87,33.80861,-118.18661,27276.31,7809.62,LONG BEACH MEMORIAL MEDICAL CENTER
10.38,3.11,37.69824,-122.08730,37805.92,8751.75,EDEN MEDICAL CENTER
11.30,3.06,37.98224,-121.80362,41475.00,8548.27,SUTTER DELTA MEDICAL CENTER
12.82,2.90,34.20777,-118.88305,47533.74,7914.11,LOS ROBLES HOSPITAL & MEDICAL CENTER
10.24,2.68,37.66867,-120.97339,37233.07,7040.93,MEMORIAL  MEDICAL CENTER
