size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
5.52,2.39,31.21673,-85.36307,AL,12000,4000,50,51,21,Southeast Alabama Medical Center
5.01,2.27,34.80175,-87.67514,AL,11000,3000,50,65,2,Eliza Coffee Memorial Hospital
5.57,2.35,34.44343,-86.93528,AL,12000,4000,0,0,0,Hartselle Medical Center
7.34,2.61,32.32785,-86.27750,AL,17000,4000,50,67,54,Baptist Medical Center South
3.12,2.47,32.63806,-85.40413,AL,6000,4000,50,80,13,East Alabama Medical Center And Snf
9.34,2.49,34.72007,-86.58108,AL,23000,4000,50,65,44,Huntsville Hospital
7.33,2.31,34.00426,-86.00339,AL,17000,3000,75,81,90,Riverview Regional Medical Center
7.26,2.31,33.65640,-85.82284,AL,17000,3000,50,60,5,Northeast Alabama Regional Med Center
3.01,2.34,34.59052,-86.97262,AL,5000,3000,50,77,54,Decatur General Hospital
5.98,2.51,33.20521,-87.52546,AL,14000,4000,66,66,21,D C H Regional Medical Center
2.00,2.61,32.54374,-86.21191,AL,3000,4000,0,0,0,Elmore Community Hospital
7.02,2.35,30.69697,-88.08081,AL,16000,3000,66,55,24,Mobile Infirmary
8.19,2.40,34.69279,-86.57179,AL,20000,4000,50,77,33,Crestwood Medical Center
2.94,2.60,32.49174,-88.29599,AL,5000,4000,0,0,0,Hill Hospital Of Sumter County
13.91,2.26,33.46420,-86.77409,AL,35000,3000,50,65,29,Brookwood Medical Center
4.84,2.35,33.78493,-85.76361,AL,10000,3000,0,0,0,Jacksonville Medical Center
12.82,3.15,60.94901,-149.17033,AK,32000,6000,50,81,90,Providence Alaska Medical Center
5.45,3.70,58.32888,-134.46506,AK,12000,7000,0,0,0,Bartlett Regional Hospital
6.79,2.87,33.46514,-112.05797,AZ,16000,5000,50,48,69,Banner Good Samaritan Medical Center
7.47,2.69,32.25294,-110.88135,AZ,18000,4000,50,48,3,Tucson Medical Center
7.77,2.48,32.22685,-110.85520,AZ,18000,4000,66,55,21,Carondelet St Josephs Hospital
10.73,2.46,33.60432,-112.28378,AZ,27000,4000,83,75,95,Banner Boswell Medical Center
9.37,2.49,32.32103,-111.01102,AZ,23000,4000,50,71,20,Northwest Medical Center
9.43,2.48,33.41128,-111.68916,AZ,23000,4000,50,70,63,Banner Baywood Medical Center
7.62,2.68,33.60949,-112.18129,AZ,18000,4000,66,73,76,Banner Thunderbird Medical Center
7.24,2.47,36.10940,-94.16036,AR,17000,4000,33,77,74,Washington Regional Med Ctr At North Hills
6.52,2.47,34.75031,-92.33897,AR,15000,4000,66,63,82,St Vincent Infirmary Medical Center
6.53,2.86,34.74866,-92.35422,AR,15000,5000,50,51,33,Uams Medical Center
3.10,2.51,35.83746,-90.70386,AR,6000,4000,50,75,2,St Bernards Medical Ctr
7.87,2.44,36.18082,-94.13644,AR,19000,4000,50,68,29,Nw Arkansas Hospitals Llc
3.20,2.37,36.34295,-92.39442,AR,6000,4000,50,65,57,Baxter Regional Medical Center
4.40,2.41,35.37445,-94.41868,AR,9000,4000,50,53,85,Sparks Regional Medical Center
5.09,2.45,34.74866,-92.35422,AR,11000,4000,50,43,21,Baptist Health Medical Center-Little Rock
10.69,3.03,37.59283,-122.38249,CA,27000,5000,50,71,33,Peninsula Medical Center
12.16,3.27,38.54384,-122.47401,CA,31000,6000,50,75,33,St Helena Hospital
9.24,3.83,32.75426,-117.16592,CA,23000,8000,50,72,69,University Of California San Diego Medical Center
12.63,2.81,32.77495,-117.01467,CA,32000,5000,83,71,33,Grossmont Hospital
10.92,2.88,39.50528,-121.54100,CA,27000,5000,50,73,63,Oroville Hospital
17.61,5.67,37.79100,-122.43125,CA,46000,13000,83,63,11,California Pacific Medical Ctr-Pacific Campus Hosp
6.42,3.13,34.67486,-118.15771,CA,15000,6000,50,67,44,Antelope Valley Hospital Med Center
10.39,3.43,36.73000,-119.78000,CA,26000,6000,50,71,0,Community Regional Medical Center
12.66,3.18,32.75143,-117.16083,CA,32000,6000,33,62,69,Scripps Mercy Hospital
8.55,2.82,33.73798,-118.30525,CA,21000,5000,50,81,81,Providence Little Co Of Mary Med Ctr San Pedro
11.14,2.81,36.83532,-119.76562,CA,28000,5000,50,66,57,Saint Agnes Medical Center
5.08,3.02,34.07074,-117.94478,CA,11000,5000,0,0,0,Doctors Hospital Of West Covina Inc
13.86,2.97,32.79949,-117.15394,CA,35000,5000,66,62,11,Sharp Memorial Hospital
7.58,2.75,33.18402,-117.29661,CA,18000,5000,50,57,21,Tri-City Medical Center
10.60,2.96,36.57886,-121.91316,CA,26000,5000,66,56,57,Community Hospital Of The Monterey Peninsula
21.44,3.56,37.78963,-122.41700,CA,56000,7000,75,70,29,Saint Francis Memorial Hospital
15.40,3.08,38.44369,-122.70138,CA,40000,6000,66,86,57,Santa Rosa Memorial Hospital
27.64,2.98,37.91341,-122.04163,CA,73000,5000,50,62,33,John Muir Medical Center - Walnut Creek Campus
9.97,3.40,33.77991,-118.18602,CA,25000,6000,50,82,94,St Mary Medical Center
7.14,2.61,33.62229,-117.92995,CA,17000,4000,50,70,51,Hoag Memorial Hospital Presbyterian
23.59,2.72,39.75720,-121.57018,CA,62000,5000,50,65,57,Feather River Hospital
19.31,4.64,37.75676,-122.40461,CA,50000,10000,75,51,12,San Francisco General Hospital
12.51,2.89,34.13973,-118.03534,CA,32000,5000,50,45,10,Methodist Hospital Of Southern Ca
10.53,3.31,34.14987,-118.23117,CA,26000,6000,66,75,88,Glendale Adventist Medical Center
17.74,3.22,36.98999,-121.98357,CA,46000,6000,50,63,63,Dominican Hospital
19.38,2.91,33.83862,-116.54557,CA,51000,5000,66,81,2,Desert Regional Medical Center
7.03,3.70,34.07389,-117.35111,CA,16000,7000,33,81,6,Arrowhead Regional Medical Center
18.44,4.59,36.69761,-121.63320,CA,48000,10000,25,88,28,Natividad Medical Center
8.54,3.52,35.41172,-119.03972,CA,21000,7000,0,0,0,Good Samaritan Hospital
16.27,7.82,38.00655,-122.13312,CA,42000,19000,50,66,28,Contra Costa Regional Medical Center
9.65,3.31,33.91173,-117.19590,CA,24000,6000,50,77,52,Riverside County Regional Medical Center
17.57,3.58,37.85593,-122.25730,CA,46000,7000,50,56,8,Alta Bates Summit Medical Center - Alta Bates Camp
15.70,2.96,37.36934,-122.08047,CA,40000,5000,66,48,6,El Camino Hospital
18.38,2.80,38.76514,-121.24979,CA,48000,5000,66,77,16,Sutter Roseville Medical Center
7.63,4.28,37.79943,-122.23307,CA,18000,9000,66,57,12,Alameda County Medical Center
8.10,2.57,32.88461,-117.22244,CA,19000,4000,50,63,29,Scripps Memorial Hospital La Jolla
12.82,2.68,33.81131,-118.34364,CA,32000,4000,66,67,88,Torrance Memorial Medical Center
12.74,2.78,33.83891,-118.35677,CA,32000,5000,50,86,94,Providence Little Company Of Mary Med Ctr Torrance
22.25,3.05,37.94748,-122.53677,CA,59000,5000,50,63,16,Marin General Hospital
7.57,3.24,34.08802,-117.89341,CA,18000,6000,66,67,29,Citrus Valley Medical Center-Ic Campus
6.39,2.82,33.75117,-116.96028,CA,15000,5000,50,73,82,Hemet Valley Medical Center
21.15,2.65,34.27459,-119.25812,CA,55000,4000,50,53,8,Community Memorial Hospital San Buenaventura
7.92,2.93,34.42951,-119.72333,CA,19000,5000,66,72,32,Santa Barbara Cottage Hospital
18.63,3.00,38.67039,-121.14552,CA,49000,5000,50,77,24,Mercy Hospital Of Folsom
17.55,2.96,34.13364,-118.15275,CA,46000,5000,66,65,57,Huntington Memorial Hospital
22.27,4.32,37.43436,-122.18013,CA,59000,9000,50,58,27,Stanford Hospital
14.81,4.59,37.76421,-122.45716,CA,38000,10000,66,52,90,Ucsf Medical Center
