size,lat,lon,price,name
2.76,34.46784,-93.06667,13336.47,ST JOSEPHS MERCY HEALTH CENTER INC
2.20,36.34295,-92.39442,6863.06,BAXTER REGIONAL MEDICAL CENTER
3.11,35.28275,-93.14901,17370.83,ST MARYS REGIONAL MEDICAL CENTER
2.46,35.37445,-94.41868,9775.28,SPARKS REGIONAL MEDICAL CENTER
3.31,34.18894,-92.01886,19603.29,JEFFERSON REGIONAL MEDICAL CENTER
3.99,35.60836,-91.26499,27475.31,HARRIS HOSPITAL
2.88,34.74866,-92.35422,14718.25,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
2.74,35.80838,-90.66658,13029.50,NEA BAPTIST MEMORIAL HOSPITAL
2.98,35.76927,-91.63408,15838.26,WHITE RIVER MEDICAL CENTER
3.09,34.73868,-92.39307,17145.53,ARKANSAS HEART HOSPITAL
8.33,37.63362,-122.08802,77641.47,ST ROSE HOSPITAL
5.49,38.32472,-122.29671,44861.62,QUEEN OF THE VALLEY MEDICAL CENTER
4.85,38.54384,-122.47401,37485.09,ST HELENA HOSPITAL
5.24,38.57053,-121.45216,41888.00,MERCY GENERAL HOSPITAL
4.00,39.50528,-121.54100,27558.78,OROVILLE HOSPITAL
4.45,35.38736,-119.01690,32857.25,BAKERSFIELD MEMORIAL HOSPITAL
6.20,37.79100,-122.43125,53043.88,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
3.32,34.67486,-118.15771,19735.38,ANTELOPE VALLEY HOSPITAL MED CENTER
3.34,36.32737,-119.29548,19935.31,KAWEAH DELTA MEDICAL CENTER
4.36,34.12834,-118.25777,31743.92,GLENDALE MEM HOSPITAL & HLTH CENTER
4.86,37.95337,-122.33672,37564.70,DOCTORS MEDICAL CENTER-SAN PABLO
6.59,37.96987,-121.28873,57522.12,ST JOSEPHS MED CENTER OF STOCKTON
3.89,36.83532,-119.76562,26336.56,SAINT AGNES MEDICAL CENTER
4.41,34.10130,-117.63651,32377.73,SAN ANTONIO COMMUNITY HOSPITAL
4.06,32.79949,-117.15394,28259.08,SHARP MEMORIAL HOSPITAL
4.16,33.92798,-117.43847,29416.00,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
6.07,34.04932,-118.21746,51556.36,WHITE MEMORIAL MEDICAL CENTER
4.73,38.57155,-121.46874,36096.95,SUTTER GENERAL HOSPITAL
3.66,34.07558,-118.28424,23687.00,TEMPLE COMMUNITY HOSPITAL
4.25,34.02685,-118.48651,30467.93,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
3.36,36.32362,-119.66726,20251.63,ADVENTIST MEDICAL CENTER
8.36,37.36257,-121.84974,78002.84,REGIONAL MEDICAL CENTER OF SAN JOSE
3.18,33.18402,-117.29661,18128.30,TRI-CITY MEDICAL CENTER
3.95,39.13822,-121.59436,27038.59,RIDEOUT MEMORIAL HOSPITAL
3.52,39.22809,-121.04721,22050.00,SIERRA NEVADA MEMORIAL HOSPITAL
6.54,33.96860,-118.04831,56999.80,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
5.47,38.44369,-122.70138,44632.10,SANTA ROSA MEMORIAL HOSPITAL
6.43,37.55717,-121.98126,55730.04,WASHINGTON HOSPITAL
5.75,37.48000,-122.25441,47864.85,SEQUOIA HOSPITAL
3.98,34.58305,-118.14490,27342.37,PALMDALE REGIONAL MEDICAL CENTER
4.99,32.61972,-117.02278,39047.86,SHARP CHULA VISTA MEDICAL CENTER
