size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.69,2.21,36.18082,-94.13644,16205.71,3313.46,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
5.55,2.19,34.46784,-93.06667,12918.54,3242.92,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.46,2.12,36.34295,-92.39442,6913.54,3052.21,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
3.54,2.16,35.08546,-92.45774,7139.34,3154.24,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
4.06,2.15,34.77770,-92.12539,8631.74,3127.60,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.01,2.19,36.05214,-90.49908,5600.14,3250.36,0.00,0.00,0.00,ARKANSAS METHODIST MEDICAL CENTER
5.85,2.23,35.28275,-93.14901,13786.73,3372.00,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
5.14,2.49,35.14320,-90.18837,11733.85,4113.96,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
4.15,2.21,35.37445,-94.41868,8873.51,3319.33,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.27,2.12,35.35395,-94.35262,12105.08,3039.62,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.59,2.28,33.27510,-93.24001,7269.67,3496.17,0.00,0.00,0.00,MAGNOLIA HOSPITAL
6.75,2.62,34.18894,-92.01886,16363.77,4484.53,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
3.98,2.26,34.35877,-92.78638,8390.49,3450.57,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
8.68,2.26,34.48600,-93.03521,21915.48,3463.52,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
5.26,2.14,34.57290,-92.58508,12091.72,3100.74,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
8.52,2.30,33.22053,-92.67102,21451.41,3575.81,0.50,0.70,0.14,MEDICAL CENTER SOUTH ARKANSAS
3.97,2.20,33.64905,-93.58704,8356.91,3267.91,0.00,0.00,0.00,MEDICAL PARK HOSPITAL
4.00,2.22,34.74866,-92.35422,8451.84,3339.72,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
4.09,2.18,35.80838,-90.66658,8702.67,3222.26,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
4.55,2.28,35.76927,-91.63408,10048.12,3503.15,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
3.86,2.11,34.73868,-92.39307,8052.46,3006.01,0.75,0.86,0.80,ARKANSAS HEART HOSPITAL
4.92,2.11,34.81290,-92.20814,11090.12,3010.75,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
14.58,3.19,37.63362,-122.08802,38879.68,6123.95,0.50,0.60,0.07,ST ROSE HOSPITAL
8.96,2.59,37.59283,-122.38249,22723.64,4407.00,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
12.53,2.72,38.32472,-122.29671,33008.50,4760.00,0.50,0.72,0.83,QUEEN OF THE VALLEY MEDICAL CENTER
7.71,2.90,38.54384,-122.47401,19131.58,5295.42,0.50,0.75,0.33,ST HELENA HOSPITAL
9.59,2.40,35.11346,-120.59054,24542.86,3843.21,0.00,0.00,0.00,ARROYO GRANDE COMMUNITY HOSPITAL
9.38,2.91,38.57053,-121.45216,23942.40,5311.36,0.83,0.54,0.28,MERCY GENERAL HOSPITAL
11.80,2.87,33.97659,-117.38184,30906.39,5207.84,0.50,0.65,0.58,RIVERSIDE COMMUNITY HOSPITAL
8.13,2.85,32.68425,-117.08161,20327.12,5152.50,0.00,0.00,0.00,PARADISE VALLEY HOSPITAL
6.79,3.24,32.75426,-117.16592,16490.93,6274.64,0.50,0.72,0.70,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
10.40,2.67,32.77495,-117.01467,26856.62,4642.72,0.83,0.71,0.33,GROSSMONT HOSPITAL
8.10,2.58,39.50528,-121.54100,20255.61,4369.24,0.50,0.74,0.64,OROVILLE HOSPITAL
11.07,2.58,35.38736,-119.01690,28798.60,4380.65,0.33,0.85,0.80,BAKERSFIELD MEMORIAL HOSPITAL
