size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.29,2.21,36.18082,-94.13644,31248.69,7404.08,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
6.80,2.20,34.46784,-93.06667,34257.15,7362.79,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.46,2.09,36.34295,-92.39442,14701.74,6734.43,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
4.61,2.15,35.08546,-92.45774,21468.45,7072.14,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
3.97,2.13,34.77770,-92.12539,17692.01,6939.86,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.71,2.26,35.28275,-93.14901,22024.32,7703.81,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
7.15,2.61,35.14320,-90.18837,36299.82,9734.50,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
3.69,2.20,35.37445,-94.41868,16050.83,7344.02,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.45,2.15,35.35395,-94.35262,26333.16,7078.59,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.41,2.24,33.27510,-93.24001,14448.80,7615.40,0.00,0.00,0.00,MAGNOLIA HOSPITAL
7.66,2.39,34.18894,-92.01886,39287.18,8491.75,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
2.62,2.18,34.35877,-92.78638,9848.09,7231.73,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
7.68,2.25,34.48600,-93.03521,39406.17,7659.94,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
3.89,2.11,34.57290,-92.58508,17215.78,6831.81,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
5.08,2.22,34.74866,-92.35422,24177.82,7462.96,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.63,2.25,35.80838,-90.66658,27386.03,7686.12,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
6.11,2.28,35.76927,-91.63408,30198.34,7861.34,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
4.95,2.11,34.81290,-92.20814,23451.83,6827.56,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
20.14,3.80,37.63362,-122.08802,112236.24,16722.24,0.50,0.60,0.07,ST ROSE HOSPITAL
9.76,2.69,40.78366,-124.14246,51564.25,10231.00,0.50,0.64,0.64,ST JOSEPH HOSPITAL
13.94,2.67,37.59283,-122.38249,75957.98,10135.93,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
10.45,2.97,38.54384,-122.47401,55562.83,11873.14,0.50,0.75,0.33,ST HELENA HOSPITAL
8.95,2.48,35.11346,-120.59054,46840.38,9007.70,0.00,0.00,0.00,ARROYO GRANDE COMMUNITY HOSPITAL
10.83,3.57,38.57053,-121.45216,57806.88,15370.11,0.83,0.54,0.28,MERCY GENERAL HOSPITAL
14.21,2.79,33.97659,-117.38184,77533.85,10835.30,0.50,0.65,0.58,RIVERSIDE COMMUNITY HOSPITAL
7.33,2.93,32.68425,-117.08161,37332.50,11624.42,0.00,0.00,0.00,PARADISE VALLEY HOSPITAL
