size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
8.30,2.28,31.21673,-85.36307,AL,27000,5000,50,51,21,Southeast Alabama Medical Center
7.04,2.12,34.80175,-87.67514,AL,23000,4000,50,65,2,Eliza Coffee Memorial Hospital
5.65,2.14,33.59616,-86.66750,AL,17000,4000,66,78,1,St Vincent'S East
3.80,2.12,34.74649,-87.69895,AL,11000,4000,50,91,33,Helen Keller Memorial Hospital
7.72,2.41,32.32785,-86.27750,AL,25000,5000,50,67,54,Baptist Medical Center South
6.41,2.19,32.36656,-86.28572,AL,20000,5000,50,68,82,Jackson Hospital & Clinic Inc
4.08,2.22,32.63806,-85.40413,AL,12000,5000,50,80,13,East Alabama Medical Center And Snf
9.05,2.88,33.50619,-86.80210,AL,30000,7000,66,45,11,University Of Alabama Hospital
6.07,2.12,34.20768,-86.87489,AL,19000,4000,50,63,79,Cullman Regional Medical Center
7.34,2.26,34.72007,-86.58108,AL,24000,5000,50,65,44,Huntsville Hospital
14.14,2.08,34.00941,-85.97078,AL,49000,4000,66,67,27,Gadsden Regional Medical Center
5.58,2.18,33.50734,-86.78958,AL,17000,5000,50,72,21,St Vincent'S Birmingham
7.04,2.12,33.65640,-85.82284,AL,23000,4000,50,60,5,Northeast Alabama Regional Med Center
6.37,2.25,33.20521,-87.52546,AL,20000,5000,66,66,21,D C H Regional Medical Center
7.90,2.25,33.49854,-86.84633,AL,26000,5000,66,70,8,Baptist Medical Center-Princeton
10.45,2.35,33.51420,-86.74859,AL,35000,5000,66,27,11,Trinity Medical Center
2.16,2.03,32.43516,-88.32614,AL,4000,4000,0,0,0,Bryan W Whitfield Mem Hosp Inc
5.28,2.12,30.69697,-88.08081,AL,16000,4000,66,55,24,Mobile Infirmary
4.97,2.11,33.37328,-86.99163,AL,15000,4000,50,67,6,Medical West An Affiliate Of Uab Health System
6.80,2.44,32.43020,-87.05515,AL,22000,5000,50,91,32,Vaughan Reg Med Center Parkway Campus
11.18,2.11,34.69279,-86.57179,AL,38000,4000,50,77,33,Crestwood Medical Center
15.66,2.07,33.46420,-86.77409,AL,55000,4000,50,65,29,Brookwood Medical Center
8.44,2.82,60.94901,-149.17033,AK,28000,7000,50,81,90,Providence Alaska Medical Center
7.64,2.45,32.25294,-110.88135,AZ,25000,6000,50,48,3,Tucson Medical Center
8.58,2.32,32.22734,-111.00065,AZ,28000,5000,33,75,63,Carondelet St  Marys Hospital
7.40,2.47,34.56017,-112.48217,AZ,24000,6000,25,67,17,Yavapai Regional Medical Center
6.59,2.44,32.68274,-114.63506,AZ,21000,6000,50,63,69,Yuma Regional Medical Center
6.04,2.62,31.55116,-110.27248,AZ,19000,6000,0,0,0,Sierra Vista Regional Health Center Inc
8.22,2.22,33.60432,-112.28378,AZ,27000,5000,83,75,95,Banner Boswell Medical Center
10.69,2.36,34.47988,-114.33938,AZ,36000,5000,50,70,56,Havasu Regional Medical Center
8.58,2.21,33.65965,-112.37283,AZ,28000,5000,50,77,97,Banner Del E Webb Medical Center
23.07,2.39,35.11068,-114.55505,AZ,82000,5000,50,87,63,Western Arizona Regional Medical Ctr
