size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
2.84,2.30,35.83746,-90.70386,14501.56,9961.11,0.50,0.75,0.03,ST BERNARDS MEDICAL CTR
6.91,2.20,36.18082,-94.13644,48490.48,9148.28,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
5.85,2.27,34.46784,-93.06667,39673.84,9714.72,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.11,2.13,36.34295,-92.39442,16736.53,8503.60,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
5.69,2.53,35.08546,-92.45774,38299.20,11907.48,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
3.54,2.14,34.77770,-92.12539,20347.63,8614.44,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.25,2.15,35.28275,-93.14901,17860.42,8708.00,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
5.13,2.47,35.14320,-90.18837,33632.58,11394.68,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
3.76,2.18,35.37445,-94.41868,22132.64,8922.81,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.26,2.22,35.35395,-94.35262,34712.45,9255.25,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
6.32,2.40,34.18894,-92.01886,43574.87,10800.95,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
9.86,2.36,34.48600,-93.03521,73220.82,10437.32,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
3.39,2.13,34.57290,-92.58508,19070.95,8527.11,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
8.19,2.30,33.22053,-92.67102,59245.76,9925.43,0.50,0.70,0.14,MEDICAL CENTER SOUTH ARKANSAS
4.82,2.26,34.74866,-92.35422,30997.04,9635.83,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.97,2.34,35.80838,-90.66658,40686.64,10247.82,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
4.60,2.29,35.76927,-91.63408,29152.20,9838.40,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
3.45,2.10,34.73868,-92.39307,19561.64,8236.27,0.75,0.86,0.80,ARKANSAS HEART HOSPITAL
4.42,2.17,34.81290,-92.20814,27695.58,8862.92,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
18.18,3.59,37.63362,-122.08802,142758.67,20735.77,0.50,0.60,0.07,ST ROSE HOSPITAL
6.82,2.64,40.78366,-124.14246,47742.33,12771.85,0.50,0.64,0.64,ST JOSEPH HOSPITAL
7.23,2.58,37.59283,-122.38249,51187.29,12258.23,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
12.14,2.85,38.32472,-122.29671,92238.44,14551.56,0.50,0.72,0.83,QUEEN OF THE VALLEY MEDICAL CENTER
8.31,2.77,38.54384,-122.47401,60198.00,13865.16,0.50,0.75,0.33,ST HELENA HOSPITAL
9.88,2.86,38.57053,-121.45216,73330.29,14592.71,0.83,0.54,0.28,MERCY GENERAL HOSPITAL
4.67,3.27,34.06505,-118.23913,29783.41,18092.88,0.00,0.00,0.00,PACIFIC ALLIANCE MEDICAL CENTER
14.48,3.15,33.97659,-117.38184,111799.36,17026.03,0.50,0.65,0.58,RIVERSIDE COMMUNITY HOSPITAL
4.61,2.80,32.68425,-117.08161,29275.10,14101.08,0.00,0.00,0.00,PARADISE VALLEY HOSPITAL
6.11,3.32,32.75426,-117.16592,41806.63,18446.03,0.50,0.72,0.70,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
8.24,2.56,32.77495,-117.01467,59652.42,12101.72,0.83,0.71,0.33,GROSSMONT HOSPITAL
9.05,2.82,39.50528,-121.54100,66432.39,14299.04,0.50,0.74,0.64,OROVILLE HOSPITAL
8.13,2.57,35.38736,-119.01690,58676.27,12224.82,0.33,0.85,0.80,BAKERSFIELD MEMORIAL HOSPITAL
7.57,3.80,37.31288,-121.93329,54016.21,22529.07,0.67,0.65,0.02,SANTA CLARA VALLEY MEDICAL CENTER
9.24,2.46,39.74221,-121.85000,68013.49,11289.68,0.83,0.71,0.48,ENLOE MEDICAL CENTER
12.51,3.34,37.82206,-122.26275,95389.43,18642.21,0.50,0.64,0.32,ALTA BATES SUMMIT MEDICAL CENTER
8.37,2.74,32.78037,-115.56848,60706.62,13599.46,0.50,0.97,0.70,EL CENTRO REGIONAL MEDICAL CENTER
7.10,3.04,37.79100,-122.43125,50090.63,16176.81,0.83,0.64,0.11,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
6.67,2.60,33.93183,-116.94587,46494.00,12460.42,0.00,0.00,0.00,SAN GORGONIO MEMORIAL HOSPITAL
7.04,2.89,34.67486,-118.15771,49624.47,14861.45,0.50,0.68,0.45,ANTELOPE VALLEY HOSPITAL MED CENTER
8.82,2.69,36.32737,-119.29548,64497.09,13226.76,0.50,0.56,0.12,KAWEAH DELTA MEDICAL CENTER
9.08,3.04,34.12834,-118.25777,66654.98,16128.41,0.50,0.72,0.45,GLENDALE MEM HOSPITAL & HLTH CENTER
4.96,2.95,36.73000,-119.78000,32170.51,15358.51,0.50,0.71,0.00,COMMUNITY REGIONAL MEDICAL CENTER
7.49,3.26,34.09643,-118.29103,53379.32,17989.82,0.75,0.76,0.74,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
8.38,2.51,33.78036,-117.86495,60784.10,11740.96,0.50,0.60,0.89,ST JOSEPH HOSPITAL
8.22,2.79,32.75143,-117.16083,59451.58,14067.28,0.33,0.62,0.70,SCRIPPS MERCY HOSPITAL
10.19,2.68,33.73798,-118.30525,75971.92,13140.17,0.50,0.81,0.82,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO
8.99,2.89,37.95337,-122.33672,65909.88,14901.00,0.50,0.64,0.19,DOCTORS MEDICAL CENTER-SAN PABLO
9.09,2.65,34.21674,-119.15631,66755.08,12852.08,0.50,0.64,0.07,ST JOHNS REGIONAL MEDICAL CENTER
10.88,2.74,37.96987,-121.28873,81691.00,13666.74,0.83,0.69,0.97,ST JOSEPHS MED CENTER OF STOCKTON
9.22,3.08,34.13101,-117.32181,67864.18,16504.64,0.50,0.84,0.47,COMMUNITY HOSPITAL OF SAN BERNARDINO
7.69,2.72,36.83532,-119.76562,55044.01,13454.75,0.50,0.66,0.58,SAINT AGNES MEDICAL CENTER
7.20,2.41,34.10130,-117.63651,50930.67,10866.80,0.50,0.66,0.86,SAN ANTONIO COMMUNITY HOSPITAL
11.32,2.63,32.79949,-117.15394,85376.70,12713.87,0.67,0.62,0.11,SHARP MEMORIAL HOSPITAL
8.70,3.11,38.13118,-122.23732,63476.47,16745.06,0.50,0.81,0.29,SUTTER SOLANO MEDICAL CENTER
8.01,2.86,33.92798,-117.43847,57687.11,14601.11,0.50,0.89,0.25,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
11.31,3.31,34.04932,-118.21746,85307.04,18414.96,0.25,0.74,0.99,WHITE MEMORIAL MEDICAL CENTER
7.12,3.28,33.92963,-118.20332,50281.22,18166.51,0.67,0.79,0.33,SAINT FRANCIS MEDICAL CENTER
6.85,2.62,34.95099,-120.41322,48036.36,12640.86,0.50,0.94,0.48,MARIAN MEDICAL CENTER
7.52,2.76,38.57155,-121.46874,53632.35,13837.30,0.83,0.78,0.80,SUTTER GENERAL HOSPITAL
5.76,2.79,34.07558,-118.28424,38904.03,14073.38,0.00,0.00,0.00,TEMPLE COMMUNITY HOSPITAL
11.38,3.01,34.02685,-118.48651,85917.48,15892.45,0.50,0.76,0.21,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
7.11,2.51,33.12535,-117.07336,50150.19,11705.79,0.50,0.55,0.70,PALOMAR MEDICAL CENTER
8.67,2.68,34.22014,-118.53410,63236.68,13107.66,0.33,0.56,0.45,NORTHRIDGE HOSPITAL MEDICAL CENTER
7.19,2.71,36.32362,-119.66726,50814.88,13397.86,0.50,0.89,0.25,ADVENTIST MEDICAL CENTER
7.75,2.42,34.20495,-118.21589,55554.15,10984.46,0.00,0.00,0.00,VERDUGO HILLS HOSPITAL
17.14,3.49,37.36257,-121.84974,134057.06,19886.31,0.50,0.70,0.02,REGIONAL MEDICAL CENTER OF SAN JOSE
7.88,3.05,34.19494,-118.46319,56588.07,16262.48,0.50,0.78,0.76,VALLEY PRESBYTERIAN HOSPITAL
7.41,2.48,33.18402,-117.29661,52664.11,11442.42,0.50,0.57,0.21,TRI-CITY MEDICAL CENTER
6.76,2.71,34.13495,-117.27603,47282.97,13379.59,0.50,0.66,0.48,ST BERNARDINE MEDICAL CENTER
15.55,2.95,34.10081,-118.10588,120746.67,15359.73,0.00,0.00,0.00,SAN GABRIEL VALLEY MEDICAL CENTER
8.58,2.81,39.13822,-121.59436,62477.03,14251.28,0.50,0.51,0.21,RIDEOUT MEMORIAL HOSPITAL
4.58,2.97,34.09638,-118.32518,28995.23,15564.64,0.00,0.00,0.00,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
8.63,2.64,38.25455,-122.63177,62916.43,12786.36,0.00,0.00,0.00,PETALUMA VALLEY HOSPITAL
3.41,2.38,34.07225,-117.43197,19263.27,10621.91,0.67,0.62,0.64,KAISER FOUNDATION HOSPITAL FONTANA
8.97,2.83,36.57886,-121.91316,65757.60,14369.87,0.67,0.56,0.58,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
6.32,3.21,34.03705,-118.26575,43602.08,17584.88,0.33,0.88,0.89,CALIFORNIA HOSPITAL MEDICAL CENTER LA
11.62,3.28,37.78963,-122.41700,87946.00,18133.59,0.75,0.70,0.30,SAINT FRANCIS MEMORIAL HOSPITAL
13.11,3.07,37.32710,-121.93863,100357.48,16365.26,0.67,0.71,0.38,O'CONNOR HOSPITAL
7.92,2.35,34.15804,-118.48755,56950.89,10374.56,0.00,0.00,0.00,ENCINO HOSPITAL MEDICAL CENTER
7.22,3.38,37.88664,-121.28308,51114.58,18995.58,0.50,0.89,0.83,SAN JOAQUIN GENERAL HOSPITAL
11.63,2.63,33.89465,-117.92716,87968.46,12736.04,0.67,0.71,0.91,ST JUDE MEDICAL CENTER
11.10,2.58,33.96860,-118.04831,83585.80,12293.53,0.50,0.46,0.16,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
11.93,3.01,38.44369,-122.70138,90520.00,15887.91,0.67,0.86,0.58,SANTA ROSA MEMORIAL HOSPITAL
12.87,2.55,37.51164,-120.83800,98324.44,12077.94,0.33,0.86,0.16,EMANUEL MEDICAL CENTER INC
19.16,3.12,37.91341,-122.04163,150939.65,16825.49,0.50,0.62,0.33,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
11.29,3.21,33.77991,-118.18602,85166.28,17527.04,0.50,0.82,0.94,ST MARY MEDICAL CENTER
16.07,3.35,36.92821,-121.79360,125149.25,18726.31,0.00,0.00,0.00,WATSONVILLE COMMUNITY HOSPITAL
19.77,3.38,37.55717,-121.98126,156095.88,19015.58,0.50,0.54,0.89,WASHINGTON HOSPITAL
14.40,2.64,37.48000,-122.25441,111194.96,12754.58,0.00,0.00,0.00,SEQUOIA HOSPITAL
9.31,2.54,34.58305,-118.14490,68618.53,11930.49,0.50,0.86,0.54,PALMDALE REGIONAL MEDICAL CENTER
9.93,2.66,32.61972,-117.02278,73783.13,12967.38,0.50,0.71,0.58,SHARP CHULA VISTA MEDICAL CENTER
7.13,2.57,33.62229,-117.92995,50337.38,12225.09,0.50,0.70,0.51,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
8.34,2.35,39.75720,-121.57018,60484.00,10376.78,0.50,0.65,0.58,FEATHER RIVER HOSPITAL
9.55,2.55,33.84780,-117.93661,70580.26,12024.19,0.50,0.74,0.58,AHMC ANAHEIM REGIONAL MEDICAL CENTER
9.68,3.89,37.75676,-122.40461,71685.73,23268.00,0.75,0.51,0.12,SAN FRANCISCO GENERAL HOSPITAL
7.78,3.11,33.77483,-117.91329,55774.78,16711.06,0.50,0.85,0.98,GARDEN GROVE HOSPITAL & MEDICAL CENTER
12.06,2.95,34.07709,-117.75063,91547.95,15347.63,0.33,0.74,0.98,POMONA VALLEY HOSPITAL MEDICAL CENTER
17.27,2.91,34.15601,-118.32834,135145.71,15081.84,0.50,0.80,0.97,PROVIDENCE SAINT JOSEPH MEDICAL CTR
8.68,2.41,34.28920,-118.74484,63336.38,10847.62,0.50,0.90,0.93,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
10.93,2.81,34.13973,-118.03534,82124.59,14217.67,0.50,0.45,0.11,METHODIST HOSPITAL OF SOUTHERN CA
11.39,2.97,34.14987,-118.23117,85976.21,15526.38,0.67,0.75,0.89,GLENDALE ADVENTIST MEDICAL CENTER
10.28,2.89,36.98999,-121.98357,76725.20,14850.95,0.50,0.64,0.64,DOMINICAN HOSPITAL
12.52,2.63,33.83862,-116.54557,95472.56,12708.67,0.67,0.81,0.03,DESERT REGIONAL MEDICAL CENTER
4.97,3.32,34.07389,-117.35111,32309.23,18498.00,0.33,0.81,0.07,ARROWHEAD REGIONAL MEDICAL CENTER
13.15,2.80,38.72562,-120.79096,100685.44,14111.39,0.50,0.81,0.01,MARSHALL MEDICAL CENTER (1-RH)
8.43,2.77,36.06956,-119.02748,61228.49,13868.13,0.00,0.00,0.00,SIERRA VIEW DISTRICT HOSPITAL
10.06,3.97,34.06675,-118.44613,74894.38,23918.52,0.50,0.28,0.33,RONALD REAGAN UCLA MEDICAL CENTER
12.11,3.08,33.80733,-118.19305,92016.21,16507.50,0.00,0.00,0.00,PACIFIC HOSPITAL OF LONG BEACH
13.62,2.65,34.27915,-118.46006,104622.36,12851.64,0.50,0.80,0.25,PROVIDENCE HOLY CROSS MEDICAL CENTER
