size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.30,2.21,36.18082,-94.13644,16892.85,3926.88,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
5.61,2.21,34.46784,-93.06667,14702.38,3925.30,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
5.27,2.53,35.14320,-90.18837,13626.63,4935.46,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
3.20,2.11,36.34295,-92.39442,7087.57,3612.04,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
4.11,2.16,35.08546,-92.45774,9953.56,3786.88,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
4.51,2.19,34.77770,-92.12539,11218.71,3879.17,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.55,2.20,36.05214,-90.49908,8177.28,3895.00,0.00,0.00,0.00,ARKANSAS METHODIST MEDICAL CENTER
5.39,2.21,35.28275,-93.14901,14029.36,3947.61,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
2.87,2.28,36.28982,-90.99750,6032.79,4160.47,0.00,0.00,0.00,FIVE RIVERS MEDICAL CENTER
3.57,2.30,33.57575,-92.83683,8259.31,4231.21,0.00,0.00,0.00,OUACHITA COUNTY MEDICAL CENTER
2.75,2.17,33.62900,-91.79096,5659.09,3793.91,0.00,0.00,0.00,DREW MEMORIAL HOSPITAL
3.60,2.23,35.37445,-94.41868,8336.00,3989.18,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.00,2.16,35.35395,-94.35262,12793.41,3772.87,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.45,2.24,33.27510,-93.24001,7880.63,4031.47,0.00,0.00,0.00,MAGNOLIA HOSPITAL
4.57,2.54,35.94320,-89.91713,11410.92,4980.08,0.00,0.00,0.00,GREAT RIVER MEDICAL CENTER
6.27,2.30,34.18894,-92.01886,16801.76,4221.86,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
2.60,2.35,34.51764,-91.55932,5174.81,4391.62,0.00,0.00,0.00,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
4.26,2.28,34.35877,-92.78638,10424.96,4144.78,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
9.18,2.27,34.48600,-93.03521,26033.97,4119.17,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
