size_charge,size_pay,lat,lon,charge,pay,name,Air,BloodInf,UrinaryInf,Falls double,Mismatch,Objects,Sores,Sugar
10.08,2.22,36.18082,-94.13644,44595.91,6746.22,NW ARKANSAS HOSPITALS, LLC,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0
6.12,2.12,34.46784,-93.06667,25532.93,6272.73,ST JOSEPHS MERCY HEALTH CENTER INC,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0
4.18,2.11,36.34295,-92.39442,16218.39,6229.04,BAXTER REGIONAL MEDICAL CENTER,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0
7.18,2.15,34.77770,-92.12539,30631.71,6414.57,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089
5.28,2.23,35.37445,-94.41868,21492.31,6813.54,SPARKS REGIONAL MEDICAL CENTER,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069
4.96,2.10,35.35395,-94.35262,19940.70,6180.40,ST EDWARD MERCY MEDICAL CENTER,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0
6.92,2.22,34.74866,-92.35422,29383.97,6788.95,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077
6.15,2.28,35.76927,-91.63408,25668.28,7078.39,WHITE RIVER MEDICAL CENTER,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0
9.96,2.45,35.11346,-120.59054,44007.08,7874.83,ARROYO GRANDE COMMUNITY HOSPITAL,0.0,0.0,1.088,0.0,0.0,0.0,0.363,0.363
11.15,2.76,32.77495,-117.01467,49752.06,9379.12,GROSSMONT HOSPITAL,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0
9.91,2.80,35.38736,-119.01690,43752.67,9570.08,BAKERSFIELD MEMORIAL HOSPITAL,0.0,0.381,0.507,0.0,0.0,0.0,0.0,0.0
10.07,2.48,39.74221,-121.85000,44538.23,8019.69,ENLOE MEDICAL CENTER,0.0,0.144,0.433,0.0,0.0,0.072,0.072,0.0
9.01,3.21,37.79100,-122.43125,39453.15,11555.40,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0
8.92,3.14,34.67486,-118.15771,38990.40,11184.00,ANTELOPE VALLEY HOSPITAL MED CENTER,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0
9.97,2.69,36.32737,-119.29548,44059.53,9026.00,KAWEAH DELTA MEDICAL CENTER,0.0,0.4,0.599,0.4,0.0,0.0,0.2,0.067
10.06,3.13,36.73000,-119.78000,44481.50,11133.00,COMMUNITY REGIONAL MEDICAL CENTER,0.0,0.42,0.18,0.12,0.0,0.0,0.48,0.0
12.46,3.54,34.09643,-118.29103,56046.85,13107.00,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,0.0,0.695,0.139,0.834,0.0,0.0,0.0,0.0
11.36,2.94,32.75143,-117.16083,50772.18,10220.29,SCRIPPS MERCY HOSPITAL,0.052,0.105,0.472,0.21,0.0,0.0,0.052,0.0
9.61,2.62,33.73798,-118.30525,42320.46,8710.00,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,0.0,0.294,0.0,0.0,0.0,0.294,0.0,0.0
14.39,2.80,34.21674,-119.15631,65311.75,9571.92,ST JOHNS REGIONAL MEDICAL CENTER,0.0,0.601,0.601,0.241,0.0,0.12,0.0,0.0
16.78,2.87,37.96987,-121.28873,76810.27,9907.67,ST JOSEPHS MED CENTER OF STOCKTON,0.0,0.222,0.296,0.518,0.0,0.148,0.0,0.0
8.78,2.54,36.83532,-119.76562,38329.44,8294.37,SAINT AGNES MEDICAL CENTER,0.0,0.275,0.826,0.138,0.0,0.0,0.184,0.0
9.35,2.39,34.10130,-117.63651,41085.50,7579.29,SAN ANTONIO COMMUNITY HOSPITAL,0.0,0.539,0.673,0.135,0.0,0.0,0.135,0.0
11.55,3.16,32.79949,-117.15394,51681.00,11298.31,SHARP MEMORIAL HOSPITAL,0.0,0.288,0.672,0.48,0.0,0.096,0.0,0.0
9.49,2.53,33.12535,-117.07336,41761.31,8281.00,PALOMAR MEDICAL CENTER,0.0,0.56,0.56,0.224,0.0,0.0,0.224,0.112
12.45,2.82,34.22014,-118.53410,55999.43,9635.79,NORTHRIDGE HOSPITAL MEDICAL CENTER,0.0,1.27,0.098,0.586,0.0,0.195,0.098,0.0
10.52,2.86,36.32362,-119.66726,46686.88,9866.31,ADVENTIST MEDICAL CENTER,0.0,0.129,0.516,0.0,0.0,0.0,0.0,0.0
19.27,3.62,37.36257,-121.84974,88793.08,13485.25,REGIONAL MEDICAL CENTER OF SAN JOSE,0.0,0.248,0.124,0.372,0.0,0.0,0.372,0.0
8.68,2.69,39.13822,-121.59436,37876.50,9031.00,RIDEOUT MEMORIAL HOSPITAL,0.0,0.727,0.83,0.311,0.0,0.104,0.0,0.104
11.96,2.71,36.57886,-121.91316,53657.28,9145.56,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,0.0,0.488,0.781,0.098,0.0,0.098,0.098,0.0
15.78,3.25,37.32710,-121.93863,72034.17,11743.00,O'CONNOR HOSPITAL,0.0,0.121,0.364,0.486,0.0,0.0,0.121,0.0
16.26,2.61,33.96860,-118.04831,74351.50,8645.23,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,0.074,0.298,0.521,0.298,0.0,0.0,0.744,0.074
17.20,2.93,38.44369,-122.70138,78846.81,10180.75,SANTA ROSA MEMORIAL HOSPITAL,0.0,0.0,0.389,0.389,0.0,0.0,0.0,0.0
11.47,2.70,37.51164,-120.83800,51287.50,9083.36,EMANUEL MEDICAL CENTER INC,0.0,0.147,0.587,0.0,0.0,0.0,0.0,0.0
20.93,2.72,37.91341,-122.04163,96820.13,9154.00,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,0.0,0.082,0.245,0.735,0.0,0.0,0.082,0.082
