size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.90,2.83,31.21673,-85.36307,AL,43000,12000,50,51,21,Southeast Alabama Medical Center
5.34,2.85,34.22148,-86.15966,AL,31000,12000,50,91,54,Marshall Medical Center South
7.58,2.76,34.80175,-87.67514,AL,49000,11000,50,65,2,Eliza Coffee Memorial Hospital
6.61,2.77,31.28905,-86.25550,AL,41000,11000,0,0,0,Mizell Memorial Hospital
5.83,2.67,34.36605,-86.42127,AL,35000,11000,0,0,0,Marshall Medical Center North
5.31,2.77,33.59616,-86.66750,AL,31000,11000,66,78,1,St Vincent'S East
11.61,2.73,34.43845,-85.75574,AL,80000,11000,0,0,0,Dekalb Regional Medical Center
7.84,2.78,33.25607,-86.81035,AL,51000,11000,83,70,63,Shelby Baptist Medical Center
5.22,2.82,34.74649,-87.69895,AL,30000,12000,50,91,33,Helen Keller Memorial Hospital
6.48,2.91,31.45215,-85.63140,AL,40000,12000,0,0,0,Dale Medical Center
6.66,3.11,32.32785,-86.27750,AL,42000,14000,50,67,54,Baptist Medical Center South
7.55,2.82,32.36656,-86.28572,AL,48000,12000,50,68,82,Jackson Hospital & Clinic Inc
4.96,2.91,32.82377,-85.17019,AL,28000,12000,0,0,0,George H. Lanier Memorial Hospital
4.65,2.83,32.63806,-85.40413,AL,26000,12000,50,80,13,East Alabama Medical Center And Snf
8.12,3.28,33.50619,-86.80210,AL,53000,15000,66,45,11,University Of Alabama Hospital
6.68,2.78,34.20768,-86.87489,AL,42000,11000,50,63,79,Cullman Regional Medical Center
6.96,2.83,31.31122,-86.46762,AL,44000,12000,0,0,0,Andalusia Regional Hospital
19.43,2.73,33.66767,-85.83420,AL,141000,11000,0,0,0,Stringfellow Memorial Hospital
8.35,2.93,34.72007,-86.58108,AL,55000,13000,50,65,44,Huntsville Hospital
13.17,2.72,34.00941,-85.97078,AL,92000,11000,66,67,27,Gadsden Regional Medical Center
16.06,2.94,34.00426,-86.00339,AL,115000,13000,75,81,90,Riverview Regional Medical Center
9.42,2.64,31.31857,-85.85470,AL,63000,10000,0,0,0,Medical Center Enterprise
14.48,3.52,34.57705,-87.01588,AL,103000,17000,0,0,0,Parkway Medical Center
9.34,2.73,31.23767,-85.45625,AL,63000,11000,50,55,79,Flowers Hospital
5.59,2.71,33.50734,-86.78958,AL,33000,11000,50,72,21,St Vincent'S Birmingham
6.06,2.85,34.66171,-86.04665,AL,37000,12000,0,0,0,Highlands Medical Center
4.87,2.86,32.94573,-85.98570,AL,28000,12000,50,71,5,Russell Hospital
7.08,2.73,33.65640,-85.82284,AL,45000,11000,50,60,5,Northeast Alabama Regional Med Center
12.30,2.69,30.42700,-87.68386,AL,86000,11000,50,95,24,South Baldwin Regional Medical Center
4.02,2.81,34.59052,-86.97262,AL,21000,12000,50,77,54,Decatur General Hospital
7.83,2.72,33.93043,-87.82458,AL,51000,11000,0,0,0,Northwest Medical Center
5.82,3.46,30.70623,-88.09909,AL,35000,17000,25,61,2,Univ Of South Alabama Medical Center
7.51,2.84,33.83218,-87.30385,AL,48000,12000,50,78,95,Walker Baptist Medical Center
5.59,2.85,30.68199,-88.19897,AL,33000,12000,83,86,0,Providence Hospital
7.46,2.95,33.20521,-87.52546,AL,48000,13000,66,66,21,D C H Regional Medical Center
6.06,2.62,30.51916,-87.88842,AL,37000,10000,50,90,17,Thomas Hospital
10.58,2.92,33.49854,-86.84633,AL,72000,13000,66,70,8,Baptist Medical Center-Princeton
12.80,2.85,33.51420,-86.74859,AL,89000,12000,66,27,11,Trinity Medical Center
4.35,2.70,32.43516,-88.32614,AL,24000,11000,0,0,0,Bryan W Whitfield Mem Hosp Inc
4.90,2.75,30.69697,-88.08081,AL,28000,11000,66,55,24,Mobile Infirmary
7.07,2.79,33.37328,-86.99163,AL,45000,11000,50,67,6,Medical West An Affiliate Of Uab Health System
8.94,3.20,32.43020,-87.05515,AL,59000,15000,50,91,32,Vaughan Reg Med Center Parkway Campus
8.66,2.92,31.85636,-85.99737,AL,57000,12000,0,0,0,Troy Regional Medical Center
10.62,2.72,34.69279,-86.57179,AL,72000,11000,50,77,33,Crestwood Medical Center
11.39,2.69,33.46420,-86.77409,AL,78000,11000,50,65,29,Brookwood Medical Center
5.79,2.61,30.68546,-88.13170,AL,35000,10000,50,81,6,Springhill Medical Center
7.42,3.05,33.23361,-87.57125,AL,48000,13000,0,0,0,Northport Medical Center
7.58,2.91,32.38797,-86.17576,AL,49000,12000,50,52,90,Baptist Medical Center East
11.63,2.99,31.82882,-86.64618,AL,80000,13000,0,0,0,L V Stabler Memorial Hospital
5.99,2.84,30.61928,-88.17129,AL,36000,12000,0,0,0,Infirmary West
7.68,2.69,34.74506,-87.67557,AL,50000,11000,0,0,0,Shoals Hospital
8.04,2.83,34.49384,-87.72713,AL,52000,12000,0,0,0,Russellville Hospital
5.97,2.85,32.50808,-85.00867,AL,36000,12000,0,0,0,Jack Hughston Memorial Hospital
9.55,3.78,60.94901,-149.17033,AK,64000,19000,50,81,90,Providence Alaska Medical Center
10.81,4.33,61.56297,-149.25782,AK,74000,23000,0,0,0,Mat-Su Regional Medical Center
5.93,4.09,58.32888,-134.46506,AK,36000,22000,0,0,0,Bartlett Regional Hospital
10.49,5.29,64.83188,-147.73905,AK,71000,31000,0,0,0,Fairbanks Memorial Hospital
10.27,3.57,61.21082,-149.82866,AK,70000,18000,50,90,43,Alaska Regional Hospital
8.19,4.23,60.49315,-151.07770,AK,54000,23000,0,0,0,Central Peninsula General Hospital
7.10,4.73,61.18268,-149.79897,AK,45000,27000,0,0,0,Alaska Native Medical Center
7.26,3.29,33.46514,-112.05797,AZ,46000,15000,50,48,69,Banner Good Samaritan Medical Center
5.20,3.07,32.25294,-110.88135,AZ,30000,14000,50,48,3,Tucson Medical Center
8.56,3.77,34.73471,-112.03149,AZ,56000,19000,50,73,82,Verde Valley Medical Center
7.29,3.05,32.22734,-111.00065,AZ,46000,13000,33,75,63,Carondelet St  Marys Hospital
7.24,2.91,32.22685,-110.85520,AZ,46000,12000,66,55,21,Carondelet St Josephs Hospital
8.65,3.17,34.56017,-112.48217,AZ,57000,14000,25,67,17,Yavapai Regional Medical Center
8.08,3.18,32.68274,-114.63506,AZ,53000,14000,50,63,69,Yuma Regional Medical Center
9.00,3.08,33.56894,-112.07108,AZ,60000,14000,50,80,16,John C Lincoln North Mountain Hospital
6.12,3.17,32.88123,-111.71067,AZ,37000,14000,50,81,11,Casa Grande Regional Medical Center
6.84,4.20,35.20923,-111.64486,AZ,43000,22000,66,78,88,Flagstaff Medical Center
9.87,3.79,33.48073,-112.07948,AZ,67000,19000,33,52,11,St Joseph'S Hospital And Medical Center
7.69,3.36,33.52511,-112.10189,AZ,50000,16000,50,71,56,Phoenix Baptist Hospital
15.21,3.27,34.25095,-111.31972,AZ,108000,15000,0,0,0,Payson Regional Medical Center
11.42,3.15,33.29750,-111.87461,AZ,79000,14000,50,78,54,Chandler Regional Medical Center
10.81,3.43,33.45154,-112.04313,AZ,74000,16000,50,47,63,St Lukes Medical Center
8.33,3.08,33.48885,-111.92387,AZ,55000,14000,66,76,54,Scottsdale Healthcare-Osborn Medical Center
8.91,3.44,31.55116,-110.27248,AZ,59000,17000,0,0,0,Sierra Vista Regional Health Center Inc
9.19,3.32,35.22024,-114.03585,AZ,61000,16000,66,66,54,Kingman Regional Medical Center
7.73,2.87,33.60432,-112.28378,AZ,50000,12000,83,75,95,Banner Boswell Medical Center
8.41,3.69,34.20195,-110.01913,AZ,55000,18000,50,78,74,Summit Healthcare Regional Medical Center
10.03,3.85,32.24152,-110.94631,AZ,68000,20000,50,37,39,University Of Arizona Medical Ctr-Universit The
7.46,3.22,33.39097,-111.87638,AZ,48000,15000,66,80,56,Banner Desert Medical Center
7.86,4.04,32.82248,-109.73476,AZ,51000,21000,0,0,0,Mt Graham Regional Medical Center
8.46,3.16,34.47988,-114.33938,AZ,56000,14000,50,70,56,Havasu Regional Medical Center
3.31,3.68,36.13579,-111.23718,AZ,16000,18000,0,0,0,Tuba City Regional Health Care Corporation
7.20,3.17,33.64058,-111.99766,AZ,46000,14000,50,66,33,Paradise Valley Hospital
8.40,2.93,32.32103,-111.01102,AZ,55000,13000,50,71,20,Northwest Medical Center
