size_charge,size_pay,lat,lon,charge,pay,name
8.13,2.48,36.18082,-94.13644,76723.90,17290.24,NW ARKANSAS HOSPITALS, LLC
5.77,2.23,34.46784,-93.06667,51935.59,14654.59,ST JOSEPHS MERCY HEALTH CENTER INC
4.13,2.14,36.34295,-92.39442,34661.08,13656.51,BAXTER REGIONAL MEDICAL CENTER
4.00,2.28,35.08546,-92.45774,33319.86,15121.38,CONWAY REGIONAL MEDICAL CENTER
5.00,2.24,34.77770,-92.12539,43786.92,14696.23,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
11.17,2.59,35.28275,-93.14901,108766.93,18393.40,ST MARYS REGIONAL MEDICAL CENTER
5.15,2.20,35.37445,-94.41868,45425.50,14356.39,SPARKS REGIONAL MEDICAL CENTER
6.58,2.35,35.35395,-94.35262,60401.34,15869.47,ST EDWARD MERCY MEDICAL CENTER
8.13,2.41,34.18894,-92.01886,76797.76,16495.24,JEFFERSON REGIONAL MEDICAL CENTER
12.14,2.25,34.48600,-93.03521,119062.67,14798.33,NATIONAL PARK MEDICAL CENTER
5.08,2.35,34.57290,-92.58508,44663.00,15866.91,SALINE MEMORIAL HOSPITAL
6.70,2.27,33.22053,-92.67102,61670.71,15084.88,MEDICAL CENTER SOUTH ARKANSAS
5.70,2.21,34.74866,-92.35422,51230.20,14402.37,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.54,2.32,35.80838,-90.66658,49466.26,15572.44,NEA BAPTIST MEMORIAL HOSPITAL
6.15,2.33,35.76927,-91.63408,55929.32,15695.05,WHITE RIVER MEDICAL CENTER
9.87,2.78,40.78366,-124.14246,95073.72,20440.56,ST JOSEPH HOSPITAL
12.40,2.70,37.59283,-122.38249,121762.84,19523.63,PENINSULA MEDICAL CENTER
15.91,2.99,38.32472,-122.29671,158713.10,22631.20,QUEEN OF THE VALLEY MEDICAL CENTER
9.15,2.48,35.11346,-120.59054,87500.15,17243.23,ARROYO GRANDE COMMUNITY HOSPITAL
9.20,2.83,38.57053,-121.45216,88017.64,20935.79,MERCY GENERAL HOSPITAL
