size_charge,size_pay,lat,lon,charge,pay,name,Air,BloodInf,UrinaryInf,Falls double,Mismatch,Objects,Sores,Sugar
7.91,2.32,36.18082,-94.13644,31120.05,6302.42,NW ARKANSAS HOSPITALS, LLC,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0
6.07,2.23,34.46784,-93.06667,22951.22,5931.04,ST JOSEPHS MERCY HEALTH CENTER INC,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0
3.52,2.09,36.34295,-92.39442,11646.70,5304.22,BAXTER REGIONAL MEDICAL CENTER,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0
3.52,2.20,35.08546,-92.45774,11614.28,5793.50,CONWAY REGIONAL MEDICAL CENTER,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0
4.58,2.20,34.77770,-92.12539,16326.78,5798.72,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089
4.39,2.19,35.37445,-94.41868,15487.88,5712.88,SPARKS REGIONAL MEDICAL CENTER,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069
5.97,2.11,35.35395,-94.35262,22493.16,5395.36,ST EDWARD MERCY MEDICAL CENTER,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0
4.13,2.21,34.57290,-92.58508,14324.47,5832.84,SALINE MEMORIAL HOSPITAL,0.0,0.442,0.221,0.0,0.0,0.0,0.0,0.0
5.65,2.29,34.74866,-92.35422,21074.87,6155.90,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077
5.39,2.35,35.80838,-90.66658,19919.06,6424.18,NEA BAPTIST MEMORIAL HOSPITAL,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134
6.73,2.62,35.76927,-91.63408,25873.86,7645.43,WHITE RIVER MEDICAL CENTER,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0
8.39,2.59,40.78366,-124.14246,33213.00,7504.00,ST JOSEPH HOSPITAL,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0
11.90,2.68,37.59283,-122.38249,48813.47,7912.79,PENINSULA MEDICAL CENTER,0.0,0.495,0.619,1.114,0.0,0.0,0.0,0.0
15.65,2.83,38.32472,-122.29671,65450.67,8573.07,QUEEN OF THE VALLEY MEDICAL CENTER,0.0,0.306,1.073,0.613,0.0,0.0,0.0,0.0
6.66,3.42,32.75426,-117.16592,25545.32,11190.32,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,0.0,0.475,0.158,0.079,0.0,0.238,0.0,0.0
11.07,2.85,32.77495,-117.01467,45112.09,8642.03,GROSSMONT HOSPITAL,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0
10.68,2.55,39.74221,-121.85000,43398.54,7326.46,ENLOE MEDICAL CENTER,0.0,0.144,0.433,0.0,0.0,0.072,0.072,0.0
16.00,3.38,37.82206,-122.26275,66981.94,10996.78,ALTA BATES SUMMIT MEDICAL CENTER,0.0,0.897,0.489,0.489,0.0,0.0,0.163,0.0
12.43,3.52,37.79100,-122.43125,51170.55,11642.15,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0
5.57,2.88,34.67486,-118.15771,20712.91,8802.23,ANTELOPE VALLEY HOSPITAL MED CENTER,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0
9.85,2.84,36.32737,-119.29548,39703.70,8624.40,KAWEAH DELTA MEDICAL CENTER,0.0,0.4,0.599,0.4,0.0,0.0,0.2,0.067
9.72,3.22,36.73000,-119.78000,39125.44,10290.88,COMMUNITY REGIONAL MEDICAL CENTER,0.0,0.42,0.18,0.12,0.0,0.0,0.48,0.0
8.25,2.61,33.78036,-117.86495,32604.43,7581.29,ST JOSEPH HOSPITAL,0.0,0.106,0.53,0.212,0.0,0.106,0.212,0.0
16.04,2.94,37.96987,-121.28873,67161.20,9071.30,ST JOSEPHS MED CENTER OF STOCKTON,0.0,0.222,0.296,0.518,0.0,0.148,0.0,0.0
7.58,3.00,38.28820,-122.46533,29646.64,9334.45,SONOMA VALLEY HOSPITAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603
9.53,2.64,36.83532,-119.76562,38278.37,7723.11,SAINT AGNES MEDICAL CENTER,0.0,0.275,0.826,0.138,0.0,0.0,0.184,0.0
8.74,2.45,34.10130,-117.63651,34771.18,6902.09,SAN ANTONIO COMMUNITY HOSPITAL,0.0,0.539,0.673,0.135,0.0,0.0,0.135,0.0
10.84,2.73,32.79949,-117.15394,44100.20,8140.05,SHARP MEMORIAL HOSPITAL,0.0,0.288,0.672,0.48,0.0,0.096,0.0,0.0
10.97,2.97,38.57155,-121.46874,44671.14,9196.36,SUTTER GENERAL HOSPITAL,0.0,0.129,0.579,0.643,0.0,0.0,0.0,0.0
12.77,2.85,34.02685,-118.48651,52658.00,8653.29,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,0.0,0.45,0.36,0.629,0.0,0.0,0.0,0.0
9.20,2.47,33.12535,-117.07336,36804.73,6987.64,PALOMAR MEDICAL CENTER,0.0,0.56,0.56,0.224,0.0,0.0,0.224,0.112
15.50,2.86,34.22014,-118.53410,64786.14,8699.64,NORTHRIDGE HOSPITAL MEDICAL CENTER,0.0,1.27,0.098,0.586,0.0,0.195,0.098,0.0
6.82,2.78,33.18402,-117.29661,26257.67,8361.00,TRI-CITY MEDICAL CENTER,0.0,0.196,0.294,2.551,0.0,0.196,0.196,0.0
13.39,2.88,38.25455,-122.63177,55401.83,8810.83,PETALUMA VALLEY HOSPITAL,0.0,0.776,0.0,0.0,0.0,0.0,0.0,0.0
11.61,3.00,36.57886,-121.91316,47504.42,9331.06,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,0.0,0.488,0.781,0.098,0.0,0.098,0.098,0.0
7.85,2.53,39.22809,-121.04721,30854.33,7221.58,SIERRA NEVADA MEMORIAL HOSPITAL,0.0,0.777,0.388,0.388,0.0,0.0,0.0,0.194
8.94,2.49,33.89465,-117.92716,35693.25,7085.83,ST JUDE MEDICAL CENTER,0.0,0.103,0.309,0.516,0.0,0.0,0.206,0.0
13.54,2.96,38.44369,-122.70138,56090.60,9136.45,SANTA ROSA MEMORIAL HOSPITAL,0.0,0.0,0.389,0.389,0.0,0.0,0.0,0.0
13.30,2.72,37.51164,-120.83800,55022.58,8062.50,EMANUEL MEDICAL CENTER INC,0.0,0.147,0.587,0.0,0.0,0.0,0.0,0.0
19.15,2.94,37.91341,-122.04163,80959.69,9040.50,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,0.0,0.082,0.245,0.735,0.0,0.0,0.082,0.082
18.38,3.22,37.55717,-121.98126,77522.85,10280.85,WASHINGTON HOSPITAL,0.0,0.196,0.785,0.589,0.0,0.098,0.0,0.098
6.47,2.52,33.62229,-117.92995,24705.79,7179.31,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,0.0,0.544,0.302,0.363,0.0,0.0,0.06,0.0
21.22,2.52,39.75720,-121.57018,90143.83,7209.25,FEATHER RIVER HOSPITAL,0.0,0.199,0.596,0.794,0.0,0.0,0.0,0.397
9.48,2.73,34.13973,-118.03534,38075.50,8149.07,METHODIST HOSPITAL OF SOUTHERN CA,0.0,0.262,1.397,0.175,0.0,0.087,0.087,0.087
12.59,4.37,37.75676,-122.40461,51880.45,15400.18,SAN FRANCISCO GENERAL HOSPITAL,0.0,0.0,0.626,0.209,0.0,0.209,0.417,0.209
14.07,3.01,36.98999,-121.98357,58440.45,9371.73,DOMINICAN HOSPITAL,0.0,0.241,0.723,0.844,0.0,0.0,0.121,0.0
18.00,2.76,33.83862,-116.54557,75835.15,8248.65,DESERT REGIONAL MEDICAL CENTER,0.0,0.507,0.71,0.0,0.0,0.0,0.0,0.0
9.45,2.85,40.58654,-122.39168,37927.95,8666.95,MERCY MEDICAL CENTER REDDING,0.0,0.238,0.713,0.079,0.0,0.0,0.079,0.0
10.55,2.72,34.50107,-117.17285,42821.33,8074.08,ST MARY MEDICAL CENTER,0.0,0.245,0.368,0.0,0.0,0.0,0.0,0.0
7.22,2.73,39.15350,-123.20435,28058.33,8110.67,UKIAH VALLEY MEDICAL CENTER/HOSPITAL D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.17,2.82,37.36934,-122.08047,54418.85,8537.50,EL CAMINO HOSPITAL,0.0,0.83,0.554,1.015,0.0,0.277,0.185,0.0
8.73,2.72,38.76514,-121.24979,34751.57,8106.04,SUTTER ROSEVILLE MEDICAL CENTER,0.0,0.208,0.415,0.83,0.0,0.0,0.0,0.0
11.19,2.98,32.88461,-117.22244,45648.53,9251.60,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,0.0,0.344,0.458,1.146,0.0,0.0,0.229,0.0
23.89,2.63,38.12186,-121.28665,101957.58,7687.58,LODI MEMORIAL HOSPITAL,0.0,0.76,0.76,0.76,0.0,0.0,0.0,0.0
9.71,2.43,33.81131,-118.34364,39077.74,6819.58,TORRANCE MEMORIAL MEDICAL CENTER,0.0,0.585,0.418,0.167,0.0,0.0,0.418,0.0
9.37,2.52,33.83891,-118.35677,37575.83,7215.58,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,0.0,0.179,0.089,0.089,0.0,0.0,0.0,0.0
17.25,3.12,37.94748,-122.53677,72544.45,9858.60,MARIN GENERAL HOSPITAL,0.0,0.759,0.379,0.379,0.0,0.126,0.0,0.0
