size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.13,2.15,31.21673,-85.36307,20688.84,4134.11,0.50,0.51,0.21,SOUTHEAST ALABAMA MEDICAL CENTER
4.58,2.18,34.22148,-86.15966,14260.00,4273.44,0.50,0.91,0.54,MARSHALL MEDICAL CENTER SOUTH
5.26,2.09,34.80175,-87.67514,17091.67,3901.36,0.50,0.65,0.03,ELIZA COFFEE MEMORIAL HOSPITAL
3.47,2.08,34.36605,-86.42127,9614.29,3847.67,0.00,0.00,0.00,MARSHALL MEDICAL CENTER NORTH
5.53,2.27,33.59616,-86.66750,18208.00,4641.64,0.67,0.79,0.01,ST VINCENT'S EAST
5.97,2.07,34.43845,-85.75574,20022.67,3823.47,0.00,0.00,0.00,DEKALB REGIONAL MEDICAL CENTER
6.59,2.13,33.25607,-86.81035,22626.68,4062.26,0.83,0.70,0.64,SHELBY BAPTIST MEDICAL CENTER
4.03,2.13,34.74649,-87.69895,11959.92,4072.50,0.50,0.91,0.33,HELEN KELLER MEMORIAL HOSPITAL
5.32,2.43,32.32785,-86.27750,17312.94,5296.57,0.50,0.68,0.54,BAPTIST MEDICAL CENTER SOUTH
4.97,2.16,32.36656,-86.28572,15894.84,4183.47,0.50,0.69,0.83,JACKSON HOSPITAL & CLINIC INC
2.93,2.19,32.63806,-85.40413,7370.97,4295.58,0.50,0.80,0.14,EAST ALABAMA MEDICAL CENTER AND SNF
7.56,2.51,33.50619,-86.80210,26658.31,5624.96,0.67,0.45,0.11,UNIVERSITY OF ALABAMA HOSPITAL
2.68,2.21,32.53405,-85.91236,6357.50,4409.00,0.00,0.00,0.00,COMMUNITY HOSPITAL INC
4.74,2.12,34.20768,-86.87489,14936.14,4003.00,0.50,0.64,0.80,CULLMAN REGIONAL MEDICAL CENTER
4.07,2.14,31.31122,-86.46762,12116.75,4082.67,0.00,0.00,0.00,ANDALUSIA REGIONAL HOSPITAL
5.90,2.06,33.66767,-85.83420,19739.67,3767.04,0.00,0.00,0.00,STRINGFELLOW MEMORIAL HOSPITAL
6.70,2.21,34.72007,-86.58108,23076.95,4403.94,0.50,0.65,0.45,HUNTSVILLE HOSPITAL
12.57,2.08,34.00941,-85.97078,47517.39,3834.00,0.67,0.68,0.28,GADSDEN REGIONAL MEDICAL CENTER
3.14,2.19,33.70757,-87.82383,8277.00,4310.27,0.00,0.00,0.00,FAYETTE MEDICAL CENTER
