size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
3.90,2.51,35.83746,-90.70386,11071.00,6000.09,0.50,0.75,0.03,ST BERNARDS MEDICAL CTR
6.40,2.43,36.18082,-94.13644,20184.76,5726.67,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
4.14,2.30,36.34295,-92.39442,11932.08,5240.33,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
4.52,2.33,34.77770,-92.12539,13345.00,5358.33,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.91,2.44,35.37445,-94.41868,14761.27,5733.86,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.14,2.41,34.74866,-92.35422,15591.75,5618.95,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
14.65,3.10,38.32472,-122.29671,50277.23,8168.77,0.50,0.72,0.83,QUEEN OF THE VALLEY MEDICAL CENTER
11.86,3.18,33.97659,-117.38184,40119.91,8428.70,0.50,0.65,0.58,RIVERSIDE COMMUNITY HOSPITAL
8.53,4.11,32.75426,-117.16592,27951.35,11828.35,0.50,0.72,0.70,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
10.24,2.76,32.77495,-117.01467,34195.57,6916.14,0.83,0.71,0.33,GROSSMONT HOSPITAL
8.59,2.87,39.50528,-121.54100,28172.91,7326.64,0.50,0.74,0.64,OROVILLE HOSPITAL
15.94,5.02,37.31288,-121.93329,55006.85,15159.23,0.67,0.65,0.02,SANTA CLARA VALLEY MEDICAL CENTER
9.26,2.74,39.74221,-121.85000,30624.93,6856.00,0.83,0.71,0.48,ENLOE MEDICAL CENTER
15.57,3.72,37.82206,-122.26275,53656.20,10432.87,0.50,0.64,0.32,ALTA BATES SUMMIT MEDICAL CENTER
13.67,3.87,37.79100,-122.43125,46722.86,10947.91,0.83,0.64,0.11,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
6.10,3.13,34.67486,-118.15771,19080.23,8247.69,0.50,0.68,0.45,ANTELOPE VALLEY HOSPITAL MED CENTER
9.05,2.98,36.32737,-119.29548,29852.50,7715.00,0.50,0.56,0.12,KAWEAH DELTA MEDICAL CENTER
11.15,3.48,34.12834,-118.25777,37512.00,9550.18,0.50,0.72,0.45,GLENDALE MEM HOSPITAL & HLTH CENTER
10.98,3.95,36.73000,-119.78000,36905.23,11269.77,0.50,0.71,0.00,COMMUNITY REGIONAL MEDICAL CENTER
15.93,3.23,33.78036,-117.86495,54936.15,8611.31,0.50,0.60,0.89,ST JOSEPH HOSPITAL
10.16,3.28,32.75143,-117.16083,33897.18,8817.46,0.33,0.62,0.70,SCRIPPS MERCY HOSPITAL
16.46,3.37,37.95337,-122.33672,56902.55,9149.45,0.50,0.64,0.19,DOCTORS MEDICAL CENTER-SAN PABLO
8.57,2.84,36.83532,-119.76562,28103.42,7211.85,0.50,0.66,0.58,SAINT AGNES MEDICAL CENTER
18.05,3.63,32.79949,-117.15394,62695.94,10076.00,0.67,0.62,0.11,SHARP MEMORIAL HOSPITAL
10.61,3.19,38.57155,-121.46874,35539.08,8486.88,0.83,0.78,0.80,SUTTER GENERAL HOSPITAL
10.48,3.00,34.02685,-118.48651,35079.62,7784.19,0.50,0.76,0.21,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
10.81,2.81,33.12535,-117.07336,36295.00,7078.00,0.50,0.55,0.70,PALOMAR MEDICAL CENTER
16.27,3.14,34.22014,-118.53410,56180.00,8301.00,0.33,0.56,0.45,NORTHRIDGE HOSPITAL MEDICAL CENTER
19.53,4.11,37.36257,-121.84974,68078.18,11840.55,0.50,0.70,0.02,REGIONAL MEDICAL CENTER OF SAN JOSE
7.16,2.79,33.18402,-117.29661,22963.29,7022.08,0.50,0.57,0.21,TRI-CITY MEDICAL CENTER
10.08,2.94,39.13822,-121.59436,33617.36,7587.36,0.50,0.51,0.21,RIDEOUT MEMORIAL HOSPITAL
9.83,2.76,39.22809,-121.04721,32707.45,6928.36,0.00,0.00,0.00,SIERRA NEVADA MEMORIAL HOSPITAL
14.39,3.56,37.32710,-121.93863,49319.53,9835.47,0.67,0.71,0.38,O'CONNOR HOSPITAL
10.70,2.63,33.89465,-117.92716,35873.60,6448.00,0.67,0.71,0.91,ST JUDE MEDICAL CENTER
12.61,2.71,33.96860,-118.04831,42859.80,6718.07,0.50,0.46,0.16,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
13.79,3.24,38.44369,-122.70138,47149.25,8677.75,0.67,0.86,0.58,SANTA ROSA MEMORIAL HOSPITAL
23.51,3.27,37.91341,-122.04163,82597.71,8757.79,0.50,0.62,0.33,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
18.27,3.36,37.55717,-121.98126,63501.22,9106.89,0.50,0.54,0.89,WASHINGTON HOSPITAL
14.62,2.82,34.58305,-118.14490,50175.00,7150.07,0.50,0.86,0.54,PALMDALE REGIONAL MEDICAL CENTER
18.66,2.99,32.61972,-117.02278,64902.24,7740.76,0.50,0.71,0.58,SHARP CHULA VISTA MEDICAL CENTER
8.23,2.52,33.62229,-117.92995,26876.65,6033.30,0.50,0.70,0.51,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
13.76,3.03,33.84780,-117.93661,47040.64,7904.50,0.50,0.74,0.58,AHMC ANAHEIM REGIONAL MEDICAL CENTER
10.83,2.96,34.13973,-118.03534,36364.43,7629.86,0.50,0.45,0.11,METHODIST HOSPITAL OF SOUTHERN CA
14.52,3.04,33.83862,-116.54557,49805.17,7927.33,0.67,0.81,0.03,DESERT REGIONAL MEDICAL CENTER
9.42,4.06,34.07389,-117.35111,31213.53,11640.74,0.33,0.81,0.07,ARROWHEAD REGIONAL MEDICAL CENTER
11.06,4.39,34.06675,-118.44613,37206.56,12857.27,0.50,0.28,0.33,RONALD REAGAN UCLA MEDICAL CENTER
10.08,2.62,34.03009,-118.47833,33611.35,6387.65,0.50,0.81,0.76,SAINT JOHN'S HEALTH CENTER
15.05,3.01,37.36934,-122.08047,51745.00,7812.44,0.67,0.49,0.07,EL CAMINO HOSPITAL
8.34,2.81,38.76514,-121.24979,27272.92,7102.38,0.67,0.78,0.16,SUTTER ROSEVILLE MEDICAL CENTER
10.60,2.59,32.88461,-117.22244,35507.15,6306.77,0.50,0.64,0.30,SCRIPPS MEMORIAL HOSPITAL LA JOLLA
11.38,3.82,34.05076,-117.26395,38339.57,10776.05,0.50,0.55,0.16,LOMA LINDA UNIVERSITY MEDICAL CENTER
11.69,4.09,36.65910,-121.64630,39476.94,11772.59,0.50,0.70,0.38,SALINAS VALLEY MEMORIAL HOSPITAL
12.21,3.94,33.78798,-117.89026,41371.35,11221.61,0.67,0.56,0.11,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER
16.37,2.94,37.25153,-121.94684,56541.44,7565.00,0.33,0.64,0.03,GOOD SAMARITAN HOSPITAL
8.08,3.37,34.08802,-117.89341,26310.44,9150.00,0.67,0.68,0.29,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
13.93,3.67,34.42951,-119.72333,47647.58,10218.67,0.67,0.72,0.32,SANTA BARBARA COTTAGE HOSPITAL
12.74,2.92,34.13364,-118.15275,43308.90,7510.85,0.67,0.65,0.58,HUNTINGTON MEMORIAL HOSPITAL
20.15,4.63,37.43436,-122.18013,70360.70,13749.70,0.50,0.59,0.28,STANFORD HOSPITAL
17.19,4.66,37.76421,-122.45716,59553.88,13838.96,0.67,0.53,0.91,UCSF MEDICAL CENTER
19.80,3.05,34.20285,-118.62962,69071.58,7955.75,0.50,0.61,0.14,WEST HILLS HOSPITAL & MEDICAL CENTER
9.66,3.06,33.80861,-118.18661,32094.50,8025.09,0.67,0.65,0.28,LONG BEACH MEMORIAL MEDICAL CENTER
11.63,3.21,37.69824,-122.08730,39252.81,8568.62,0.67,0.61,0.54,EDEN MEDICAL CENTER
20.20,3.12,37.98396,-122.03464,70515.24,8228.47,0.50,0.76,0.98,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS
13.54,3.74,34.06389,-118.27347,46233.24,10502.58,0.50,0.80,0.99,SAINT VINCENT MEDICAL CENTER
10.08,3.48,38.66956,-121.31378,33603.68,9554.89,0.67,0.66,0.30,MERCY SAN JUAN MEDICAL CENTER
13.83,2.85,37.66867,-120.97339,47295.00,7247.10,0.67,0.80,0.54,MEMORIAL  MEDICAL CENTER
11.02,2.62,33.56100,-117.66530,37036.70,6420.61,0.67,0.59,0.13,MISSION HOSPITAL REGIONAL MED CENTER
