size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
5.31,2.15,34.46784,-93.06667,15859.69,4863.23,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
4.12,2.15,35.37445,-94.41868,11708.06,4873.83,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069,SPARKS REGIONAL MEDICAL CENTER
6.88,2.27,34.74866,-92.35422,21316.00,5274.00,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
6.69,2.58,35.76927,-91.63408,20674.78,6377.33,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0,WHITE RIVER MEDICAL CENTER
23.56,3.72,37.63362,-122.08802,79342.08,10323.83,0.0,1.826,0.609,0.812,0.0,0.0,0.203,0.0,ST ROSE HOSPITAL
8.47,2.98,32.68425,-117.08161,26870.64,7751.00,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,PARADISE VALLEY HOSPITAL
7.58,3.63,32.75426,-117.16592,23759.71,10000.29,0.0,0.475,0.158,0.079,0.0,0.238,0.0,0.0,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
13.17,2.80,32.77495,-117.01467,43199.05,7141.75,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0,GROSSMONT HOSPITAL
6.61,2.64,39.50528,-121.54100,20392.82,6581.00,0.0,0.366,0.61,0.0,0.0,0.0,0.244,0.0,OROVILLE HOSPITAL
10.84,2.65,35.38736,-119.01690,35093.58,6619.00,0.0,0.381,0.507,0.0,0.0,0.0,0.0,0.0,BAKERSFIELD MEMORIAL HOSPITAL
13.86,3.32,37.82206,-122.26275,45602.88,8949.24,0.0,0.897,0.489,0.489,0.0,0.0,0.163,0.0,ALTA BATES SUMMIT MEDICAL CENTER
15.53,3.73,37.79100,-122.43125,51418.55,10356.36,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
6.65,2.83,34.67486,-118.15771,20512.06,7221.47,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0,ANTELOPE VALLEY HOSPITAL MED CENTER
