size_charge,size_pay,lat,lon,charge,pay,name,Air,BloodInf,UrinaryInf,Falls double,Mismatch,Objects,Sores,Sugar
7.50,2.38,36.18082,-94.13644,40771.93,8222.45,NW ARKANSAS HOSPITALS, LLC,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0
5.18,2.33,34.46784,-93.06667,26024.91,7916.31,ST JOSEPHS MERCY HEALTH CENTER INC,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0
3.91,2.31,36.34295,-92.39442,17964.71,7762.65,BAXTER REGIONAL MEDICAL CENTER,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0
4.26,2.29,35.08546,-92.45774,20185.73,7667.45,CONWAY REGIONAL MEDICAL CENTER,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0
3.49,2.22,34.77770,-92.12539,15260.16,7200.89,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089
4.55,2.36,36.05214,-90.49908,22054.21,8112.71,ARKANSAS METHODIST MEDICAL CENTER,0.0,0.0,0.51,0.255,0.0,0.0,0.0,0.0
4.35,2.35,35.28275,-93.14901,20753.09,8025.09,ST MARYS REGIONAL MEDICAL CENTER,0.0,0.429,1.287,0.0,0.0,0.0,0.0,0.215
5.83,2.76,35.14320,-90.18837,30168.83,10624.33,CRITTENDEN MEMORIAL HOSPITAL,0.0,0.303,0.303,0.0,0.0,0.0,0.0,0.0
2.92,2.41,36.28982,-90.99750,11654.15,8435.59,FIVE RIVERS MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.91,2.30,33.62900,-91.79096,11610.32,7686.11,DREW MEMORIAL HOSPITAL,0.0,0.0,0.559,0.0,0.0,0.0,0.0,0.0
4.21,2.39,35.37445,-94.41868,19859.06,8263.88,SPARKS REGIONAL MEDICAL CENTER,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069
7.03,2.40,35.35395,-94.35262,37814.58,8319.58,ST EDWARD MERCY MEDICAL CENTER,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0
3.18,2.53,34.51764,-91.55932,13306.52,9166.70,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,0.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0
4.01,2.22,34.87240,-92.12256,18573.67,7164.44,NORTH METRO MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653
4.69,2.42,34.35877,-92.78638,22917.38,8449.92,HOT SPRING COUNTY MEDICAL CENTER,0.0,0.0,1.401,0.0,0.0,0.0,0.0,0.0
8.27,2.39,35.60836,-91.26499,45696.77,8295.54,HARRIS HOSPITAL,0.0,0.444,1.333,0.0,0.0,0.0,0.0,0.0
4.55,2.40,33.64905,-93.58704,21993.46,8332.05,MEDICAL PARK HOSPITAL,0.0,0.0,0.569,0.0,0.0,0.0,0.0,0.0
5.30,2.38,34.74866,-92.35422,26825.25,8231.59,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077
6.17,2.47,35.80838,-90.66658,32361.61,8815.94,NEA BAPTIST MEMORIAL HOSPITAL,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134
5.23,2.44,35.76927,-91.63408,26355.52,8593.23,WHITE RIVER MEDICAL CENTER,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0
20.00,3.87,37.63362,-122.08802,120330.98,17670.56,ST ROSE HOSPITAL,0.0,1.826,0.609,0.812,0.0,0.0,0.203,0.0
8.01,2.85,40.78366,-124.14246,44052.89,11197.16,ST JOSEPH HOSPITAL,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0
11.52,2.81,37.59283,-122.38249,66353.31,10960.77,PENINSULA MEDICAL CENTER,0.0,0.495,0.619,1.114,0.0,0.0,0.0,0.0
13.20,3.02,38.32472,-122.29671,77089.60,12273.00,QUEEN OF THE VALLEY MEDICAL CENTER,0.0,0.306,1.073,0.613,0.0,0.0,0.0,0.0
8.77,3.26,38.54384,-122.47401,48878.54,13801.85,ST HELENA HOSPITAL,0.0,0.206,0.618,1.648,0.0,0.0,0.0,0.0
8.87,2.75,38.57053,-121.45216,49530.50,10561.00,MERCY GENERAL HOSPITAL,0.0,0.499,0.666,0.416,0.0,0.0,0.166,0.083
5.68,3.51,34.06505,-118.23913,29235.08,15397.46,PACIFIC ALLIANCE MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356
14.43,3.12,33.97659,-117.38184,84881.57,12910.95,RIVERSIDE COMMUNITY HOSPITAL,0.0,0.54,0.432,0.324,0.0,0.0,0.0,0.216
6.88,3.60,32.75426,-117.16592,36854.34,15972.50,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,0.0,0.475,0.158,0.079,0.0,0.238,0.0,0.0
9.66,2.65,32.77495,-117.01467,54551.09,9905.06,GROSSMONT HOSPITAL,0.0,0.131,0.327,0.523,0.0,0.065,0.0,0.0
8.41,2.72,39.50528,-121.54100,46591.92,10398.83,OROVILLE HOSPITAL,0.0,0.366,0.61,0.0,0.0,0.0,0.244,0.0
9.72,2.87,35.38736,-119.01690,54952.69,11316.31,BAKERSFIELD MEMORIAL HOSPITAL,0.0,0.381,0.507,0.0,0.0,0.0,0.0,0.0
9.50,3.96,37.31288,-121.93329,53542.75,18249.56,SANTA CLARA VALLEY MEDICAL CENTER,0.0,0.196,0.589,0.786,0.0,0.0,0.589,0.0
13.30,2.73,39.74221,-121.85000,77721.61,10446.15,ENLOE MEDICAL CENTER,0.0,0.144,0.433,0.0,0.0,0.072,0.072,0.0
11.86,3.22,37.82206,-122.26275,68532.52,13561.44,ALTA BATES SUMMIT MEDICAL CENTER,0.0,0.897,0.489,0.489,0.0,0.0,0.163,0.0
10.68,3.01,32.78037,-115.56848,61036.00,12230.82,EL CENTRO REGIONAL MEDICAL CENTER,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0
10.87,3.48,37.79100,-122.43125,62261.10,15187.77,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,0.0,0.689,0.536,0.842,0.0,0.0,0.153,0.0
7.86,3.01,34.67486,-118.15771,43083.80,12236.31,ANTELOPE VALLEY HOSPITAL MED CENTER,0.0,0.369,0.462,0.092,0.0,0.185,0.0,0.0
7.87,2.88,36.32737,-119.29548,43162.53,11422.21,KAWEAH DELTA MEDICAL CENTER,0.0,0.4,0.599,0.4,0.0,0.0,0.2,0.067
13.01,3.33,34.12834,-118.25777,75857.44,14265.59,GLENDALE MEM HOSPITAL & HLTH CENTER,0.0,0.231,0.463,0.116,0.0,0.0,0.116,0.0
8.26,3.27,36.73000,-119.78000,45642.18,13889.67,COMMUNITY REGIONAL MEDICAL CENTER,0.0,0.42,0.18,0.12,0.0,0.0,0.48,0.0
11.23,3.66,34.09643,-118.29103,64545.54,16374.51,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,0.0,0.695,0.139,0.834,0.0,0.0,0.0,0.0
8.44,2.60,33.78036,-117.86495,46777.32,9606.88,ST JOSEPH HOSPITAL,0.0,0.106,0.53,0.212,0.0,0.106,0.212,0.0
9.64,3.10,32.75143,-117.16083,54410.30,12807.21,SCRIPPS MERCY HOSPITAL,0.052,0.105,0.472,0.21,0.0,0.0,0.052,0.0
13.92,3.26,37.95337,-122.33672,81678.88,13843.20,DOCTORS MEDICAL CENTER-SAN PABLO,0.0,0.0,0.203,1.829,0.0,0.0,0.406,0.203
10.95,2.90,34.21674,-119.15631,62752.11,11517.71,ST JOHNS REGIONAL MEDICAL CENTER,0.0,0.601,0.601,0.241,0.0,0.12,0.0,0.0
12.21,2.99,37.96987,-121.28873,70760.44,12094.04,ST JOSEPHS MED CENTER OF STOCKTON,0.0,0.222,0.296,0.518,0.0,0.148,0.0,0.0
6.11,2.73,36.83532,-119.76562,31933.48,10436.58,SAINT AGNES MEDICAL CENTER,0.0,0.275,0.826,0.138,0.0,0.0,0.184,0.0
8.50,2.69,34.10130,-117.63651,47155.36,10186.28,SAN ANTONIO COMMUNITY HOSPITAL,0.0,0.539,0.673,0.135,0.0,0.0,0.135,0.0
10.28,2.85,32.79949,-117.15394,58492.19,11186.75,SHARP MEMORIAL HOSPITAL,0.0,0.288,0.672,0.48,0.0,0.096,0.0,0.0
9.22,3.32,38.13118,-122.23732,51755.64,14165.09,SUTTER SOLANO MEDICAL CENTER,0.0,0.0,1.022,0.341,0.0,0.0,0.0,0.0
16.00,3.84,33.92798,-117.43847,94878.27,17500.18,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,0.0,0.306,0.306,0.0,0.0,0.0,0.0,0.0
11.48,3.45,34.04932,-118.21746,66127.18,15029.91,WHITE MEMORIAL MEDICAL CENTER,0.0,0.339,0.904,0.0,0.0,0.0,0.113,0.0
10.67,3.54,33.92963,-118.20332,60997.14,15568.79,SAINT FRANCIS MEDICAL CENTER,0.0,0.684,0.171,0.342,0.0,0.0,0.0,0.0
5.79,2.67,34.95099,-120.41322,29890.68,10085.11,MARIAN MEDICAL CENTER,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0
9.04,3.09,38.57155,-121.46874,50622.48,12757.33,SUTTER GENERAL HOSPITAL,0.0,0.129,0.579,0.643,0.0,0.0,0.0,0.0
2.79,2.58,34.64075,-120.43958,10805.42,9509.75,LOMPOC VALLEY MEDICAL CENTER,0.0,0.0,0.592,0.0,0.0,0.0,0.0,0.0
9.94,2.85,34.02685,-118.48651,56315.27,11178.33,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,0.0,0.45,0.36,0.629,0.0,0.0,0.0,0.0
10.15,2.67,33.12535,-117.07336,57678.50,10048.65,PALOMAR MEDICAL CENTER,0.0,0.56,0.56,0.224,0.0,0.0,0.224,0.112
9.86,2.86,34.22014,-118.53410,55812.27,11293.04,NORTHRIDGE HOSPITAL MEDICAL CENTER,0.0,1.27,0.098,0.586,0.0,0.195,0.098,0.0
7.33,2.89,36.32362,-119.66726,39733.07,11446.67,ADVENTIST MEDICAL CENTER,0.0,0.129,0.516,0.0,0.0,0.0,0.0,0.0
7.57,2.61,34.20495,-118.21589,41225.11,9698.46,VERDUGO HILLS HOSPITAL,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0
17.80,3.68,37.36257,-121.84974,106349.41,16466.72,REGIONAL MEDICAL CENTER OF SAN JOSE,0.0,0.248,0.124,0.372,0.0,0.0,0.372,0.0
9.32,3.09,34.19494,-118.46319,52350.44,12720.62,VALLEY PRESBYTERIAN HOSPITAL,0.0,0.295,0.59,0.295,0.0,0.0,0.0,0.0
6.98,2.67,33.18402,-117.29661,37501.86,10060.03,TRI-CITY MEDICAL CENTER,0.0,0.196,0.294,2.551,0.0,0.196,0.196,0.0
9.00,3.07,34.13495,-117.27603,50320.50,12630.54,ST BERNARDINE MEDICAL CENTER,0.0,0.42,0.42,0.0,0.0,0.14,0.14,0.0
8.82,2.71,38.09906,-122.56011,49180.21,10335.86,NOVATO COMMUNITY HOSPITAL,0.0,0.518,0.0,0.0,0.0,0.0,0.0,0.0
16.86,3.22,34.10081,-118.10588,100375.47,13540.18,SAN GABRIEL VALLEY MEDICAL CENTER,0.0,0.207,0.414,0.414,0.0,0.0,0.414,0.0
9.94,2.86,39.13822,-121.59436,56313.00,11272.58,RIDEOUT MEMORIAL HOSPITAL,0.0,0.727,0.83,0.311,0.0,0.104,0.0,0.104
11.08,3.01,36.57886,-121.91316,63611.70,12202.75,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,0.0,0.488,0.781,0.098,0.0,0.098,0.098,0.0
8.07,2.54,39.22809,-121.04721,44449.84,9202.32,SIERRA NEVADA MEMORIAL HOSPITAL,0.0,0.777,0.388,0.388,0.0,0.0,0.0,0.194
