size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
6.25,2.35,36.18082,-94.13644,71307.28,19013.17,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0,NW ARKANSAS HOSPITALS LLC
4.94,2.19,34.46784,-93.06667,53709.17,16885.25,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
4.46,2.37,36.34295,-92.39442,47376.17,19357.08,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
5.91,2.55,34.77770,-92.12539,66734.36,21738.73,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.56,2.17,35.35395,-94.35262,48590.50,16671.50,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
5.13,2.35,34.18894,-92.01886,56285.32,19073.60,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0,JEFFERSON REGIONAL MEDICAL CENTER
9.30,2.28,34.48600,-93.03521,112092.35,18127.52,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0,NATIONAL PARK MEDICAL CENTER
5.82,2.31,34.74866,-92.35422,65518.74,18529.30,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.13,2.06,34.73868,-92.39307,56321.51,15145.78,0.0,0.101,0.101,0.101,0.0,0.0,0.0,0.0,ARKANSAS HEART HOSPITAL
12.06,2.91,37.59283,-122.38249,149075.47,26538.47,0.0,0.495,0.619,1.114,0.0,0.0,0.0,0.0,PENINSULA MEDICAL CENTER
10.41,2.89,38.32472,-122.29671,127031.89,26311.79,0.0,0.306,1.073,0.613,0.0,0.0,0.0,0.0,QUEEN OF THE VALLEY MEDICAL CENTER
