size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
14.01,2.39,36.18082,-94.13644,67402.69,9711.62,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
10.28,2.31,34.46784,-93.06667,48895.87,9281.27,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
7.96,2.21,36.34295,-92.39442,37345.69,8797.18,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
7.17,2.15,34.77770,-92.12539,33416.90,8502.25,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
10.19,2.56,34.18894,-92.01886,48455.82,10537.36,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
17.50,2.40,34.48600,-93.03521,84736.75,9746.50,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
7.40,2.34,34.74866,-92.35422,34563.56,9447.93,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
9.70,2.51,35.80838,-90.66658,46005.48,10261.83,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
8.97,2.12,34.73868,-92.39307,42386.55,8336.50,0.75,0.86,0.80,ARKANSAS HEART HOSPITAL
13.64,3.04,40.78366,-124.14246,65573.21,12901.00,0.50,0.64,0.64,ST JOSEPH HOSPITAL
22.63,3.14,37.59283,-122.38249,110224.73,13419.40,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
17.70,3.45,38.54384,-122.47401,85747.90,14975.90,0.50,0.75,0.33,ST HELENA HOSPITAL
15.97,3.15,38.57053,-121.45216,77143.81,13485.56,0.83,0.54,0.28,MERCY GENERAL HOSPITAL
7.94,3.75,32.75426,-117.16592,37263.14,16455.62,0.50,0.72,0.70,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
13.16,2.83,32.77495,-117.01467,63184.33,11893.13,0.83,0.71,0.33,GROSSMONT HOSPITAL
18.89,2.89,35.38736,-119.01690,91640.32,12167.21,0.33,0.85,0.80,BAKERSFIELD MEMORIAL HOSPITAL
11.12,2.67,39.74221,-121.85000,53083.67,11074.67,0.83,0.71,0.48,ENLOE MEDICAL CENTER
26.05,3.72,37.82206,-122.26275,127230.13,16277.40,0.50,0.64,0.32,ALTA BATES SUMMIT MEDICAL CENTER
9.59,3.12,36.32737,-119.29548,45482.31,13307.94,0.50,0.56,0.12,KAWEAH DELTA MEDICAL CENTER
11.17,3.60,34.12834,-118.25777,53325.69,15709.54,0.50,0.72,0.45,GLENDALE MEM HOSPITAL & HLTH CENTER
13.56,2.82,33.78036,-117.86495,65187.69,11807.69,0.50,0.60,0.89,ST JOSEPH HOSPITAL
14.10,3.24,32.75143,-117.16083,67875.91,13935.05,0.33,0.62,0.70,SCRIPPS MERCY HOSPITAL
17.61,2.97,34.21674,-119.15631,85290.06,12575.00,0.50,0.64,0.07,ST JOHNS REGIONAL MEDICAL CENTER
14.64,3.19,37.96987,-121.28873,70558.63,13679.50,0.83,0.69,0.97,ST JOSEPHS MED CENTER OF STOCKTON
11.17,2.69,36.83532,-119.76562,53328.15,11196.69,0.50,0.66,0.58,SAINT AGNES MEDICAL CENTER
11.89,2.66,34.10130,-117.63651,56905.50,11010.56,0.50,0.66,0.86,SAN ANTONIO COMMUNITY HOSPITAL
14.85,2.89,32.79949,-117.15394,71614.07,12195.14,0.67,0.62,0.11,SHARP MEMORIAL HOSPITAL
21.82,2.97,34.95099,-120.41322,106237.67,12563.25,0.50,0.94,0.48,MARIAN MEDICAL CENTER
16.44,3.59,38.57155,-121.46874,79483.44,15643.37,0.83,0.78,0.80,SUTTER GENERAL HOSPITAL
13.46,2.74,33.12535,-117.07336,64694.45,11433.00,0.50,0.55,0.70,PALOMAR MEDICAL CENTER
14.57,3.44,34.19494,-118.46319,70198.27,14890.55,0.50,0.78,0.76,VALLEY PRESBYTERIAN HOSPITAL
16.21,2.94,33.18402,-117.29661,78331.81,12411.44,0.50,0.57,0.21,TRI-CITY MEDICAL CENTER
12.98,3.13,34.13495,-117.27603,62293.00,13348.25,0.50,0.66,0.48,ST BERNARDINE MEDICAL CENTER
18.82,3.34,39.13822,-121.59436,91288.21,14417.00,0.50,0.51,0.21,RIDEOUT MEMORIAL HOSPITAL
17.32,3.48,36.57886,-121.91316,83884.31,15110.15,0.67,0.56,0.58,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
