size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
7.04,2.56,31.21673,-85.36307,AL,45000,11000,50,51,21,Southeast Alabama Medical Center
4.56,2.52,34.22148,-86.15966,AL,26000,11000,50,91,54,Marshall Medical Center South
7.74,2.49,34.80175,-87.67514,AL,50000,11000,50,65,2,Eliza Coffee Memorial Hospital
4.04,2.34,31.28905,-86.25550,AL,22000,9000,0,0,0,Mizell Memorial Hospital
9.16,2.36,34.44343,-86.93528,AL,60000,10000,0,0,0,Hartselle Medical Center
4.01,2.36,34.36605,-86.42127,AL,22000,10000,0,0,0,Marshall Medical Center North
6.66,2.54,33.59616,-86.66750,AL,42000,11000,66,78,1,St Vincent'S East
5.83,2.33,34.43845,-85.75574,AL,36000,9000,0,0,0,Dekalb Regional Medical Center
9.95,2.50,33.25607,-86.81035,AL,66000,11000,83,70,63,Shelby Baptist Medical Center
4.23,2.43,34.74649,-87.69895,AL,24000,10000,50,91,33,Helen Keller Memorial Hospital
3.64,2.47,31.45215,-85.63140,AL,19000,10000,0,0,0,Dale Medical Center
7.84,2.83,32.32785,-86.27750,AL,51000,13000,50,67,54,Baptist Medical Center South
6.61,2.53,32.36656,-86.28572,AL,41000,11000,50,68,82,Jackson Hospital & Clinic Inc
3.82,2.68,32.82377,-85.17019,AL,21000,12000,0,0,0,George H. Lanier Memorial Hospital
3.42,2.53,32.63806,-85.40413,AL,18000,11000,50,80,13,East Alabama Medical Center And Snf
8.54,3.01,33.50619,-86.80210,AL,56000,14000,66,45,11,University Of Alabama Hospital
3.10,2.59,32.53405,-85.91236,AL,15000,11000,0,0,0,Community Hospital Inc
5.91,2.44,34.20768,-86.87489,AL,36000,10000,50,63,79,Cullman Regional Medical Center
4.49,2.46,31.31122,-86.46762,AL,26000,10000,0,0,0,Andalusia Regional Hospital
7.08,2.38,33.66767,-85.83420,AL,45000,10000,0,0,0,Stringfellow Memorial Hospital
7.72,2.63,34.72007,-86.58108,AL,50000,12000,50,65,44,Huntsville Hospital
18.06,2.61,34.00941,-85.97078,AL,127000,11000,66,67,27,Gadsden Regional Medical Center
3.19,2.63,32.85247,-86.62299,AL,16000,12000,0,0,0,Chilton Medical Center
6.23,2.66,33.70757,-87.82383,AL,39000,12000,0,0,0,Fayette Medical Center
12.89,2.45,34.00426,-86.00339,AL,88000,10000,75,81,90,Riverview Regional Medical Center
8.00,2.31,31.31857,-85.85470,AL,52000,9000,0,0,0,Medical Center Enterprise
3.84,2.56,33.93332,-86.49498,AL,21000,11000,0,0,0,St Vincents Blount
2.56,2.58,32.83124,-85.76357,AL,11000,11000,0,0,0,Lake Martin Community Hospital
11.17,2.51,34.57705,-87.01588,AL,76000,11000,0,0,0,Parkway Medical Center
10.64,2.54,31.23767,-85.45625,AL,72000,11000,50,55,79,Flowers Hospital
5.38,2.38,33.50734,-86.78958,AL,32000,10000,50,72,21,St Vincent'S Birmingham
