size_charge,size_pay,lat,lon,charge,pay,name
4.34,2.20,34.46784,-93.06667,16201.30,5213.50,ST JOSEPHS MERCY HEALTH CENTER INC
2.45,2.10,36.34295,-92.39442,6492.09,4690.09,BAXTER REGIONAL MEDICAL CENTER
3.24,2.16,35.37445,-94.41868,10578.88,5025.36,SPARKS REGIONAL MEDICAL CENTER
5.13,2.32,34.18894,-92.01886,20292.81,5830.25,JEFFERSON REGIONAL MEDICAL CENTER
5.84,2.21,34.48600,-93.03521,23949.33,5281.33,NATIONAL PARK MEDICAL CENTER
4.04,2.26,33.22053,-92.67102,14686.80,5530.00,MEDICAL CENTER SOUTH ARKANSAS
4.38,2.16,34.74866,-92.35422,16416.77,5038.45,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
13.18,2.75,33.97659,-117.38184,61688.54,8065.38,RIVERSIDE COMMUNITY HOSPITAL
7.30,3.22,32.75426,-117.16592,31442.75,10488.88,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
8.13,2.46,32.77495,-117.01467,35709.80,6548.89,GROSSMONT HOSPITAL
5.30,2.49,39.50528,-121.54100,21153.09,6728.36,OROVILLE HOSPITAL
6.79,2.38,39.74221,-121.85000,28830.42,6164.92,ENLOE MEDICAL CENTER
11.64,3.09,37.82206,-122.26275,53742.74,9778.87,ALTA BATES SUMMIT MEDICAL CENTER
12.16,3.41,37.79100,-122.43125,56420.94,11423.61,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
5.69,2.71,34.67486,-118.15771,23186.05,7844.63,ANTELOPE VALLEY HOSPITAL MED CENTER
7.91,2.68,36.32737,-119.29548,34588.28,7680.44,KAWEAH DELTA MEDICAL CENTER
9.95,2.93,34.12834,-118.25777,45039.58,8951.92,GLENDALE MEM HOSPITAL & HLTH CENTER
7.68,3.15,36.73000,-119.78000,33403.12,10118.56,COMMUNITY REGIONAL MEDICAL CENTER
6.95,2.77,32.75143,-117.16083,29651.17,8133.32,SCRIPPS MERCY HOSPITAL
9.25,2.72,37.96987,-121.28873,41443.17,7917.39,ST JOSEPHS MED CENTER OF STOCKTON
7.61,2.55,36.83532,-119.76562,33040.16,7000.47,SAINT AGNES MEDICAL CENTER
20.14,3.50,32.79949,-117.15394,97439.50,11907.75,SHARP MEMORIAL HOSPITAL
11.11,3.06,34.04932,-118.21746,50999.92,9628.25,WHITE MEMORIAL MEDICAL CENTER
